IDENTIFIER,CONCEPT_CODE,DEFINITION,PARENT_IDENTIFIER,value,PUBLIC_ID
UBERON_0007827_HUDECA_0000002,"","","HUDECA_0000002","external nose","organ"
UBERON_0008522_HUDECA_0000002,"","","HUDECA_0000002","nasal muscle","organ"
UBERON_0008588_HUDECA_0000002,"","","HUDECA_0000002","procerus","organ"
UBERON_0008589_HUDECA_0000002,"","","HUDECA_0000002","depressor septi nasi","organ"
UBERON_0010953_HUDECA_0000002,"","","HUDECA_0000002","nasalis muscle","organ"
UBERON_0011931_HUDECA_0000002,"","organ part - tissue","HUDECA_0000002","nasal hair","organ"
UBERON_0015216_HUDECA_0000002,"","","HUDECA_0000002","nasal meatus","organ"
UBERON_0007163_HUDECA_0000002,"","","HUDECA_0000002","superior nasal meatus","organ"
UBERON_0015219_HUDECA_0000002,"","","HUDECA_0000002","middle nasal meatus","organ"
UBERON_0015220_HUDECA_0000002,"","","HUDECA_0000002","inferior nasal meatus","organ"
UBERON_0015221_HUDECA_0000002,"","","HUDECA_0000002","common nasal meatus","organ"
UBERON_0015788_UBERON_0000065,"","","UBERON_0000065","olfactory apparatus chamber","organ"
UBERON_0000970_HUDECA_0000002,"","","HUDECA_0000002","eye","organ"
UBERON_0004859_UBERON_0000970,"","","UBERON_0000970","eye gland","organ"
UBERON_0013226_UBERON_0000970,"","","UBERON_0000970","accessory lacrimal gland","organ"
UBERON_0001817_UBERON_0000970,"","","UBERON_0000970","lacrimal gland","organ"
UBERON_0004817_UBERON_0000970,"","tissue","UBERON_0000970","lacrimal gland epithelium","organ"
UBERON_0011857_HUDECA_0000002,"","","HUDECA_0000002","acinus of lacrimal gland","organ"
UBERON_0001818_UBERON_0000970,"","organ part - tissue","UBERON_0000970","tarsal gland","organ"
UBERON_0001818_UBERON_0002097,"","organ part - tissue","UBERON_0002097","tarsal gland","organ"
UBERON_0003484_UBERON_0000970,"","organ part - tissue","UBERON_0000970","eye sebaceous gland","organ"
UBERON_0003484_UBERON_0002097,"","organ part - tissue","UBERON_0002097","eye sebaceous gland","organ"
UBERON_0003605_UBERON_0000970,"","organ part - ","UBERON_0000970","eye skin gland","organ"
UBERON_0003605_UBERON_0002097,"","organ part - ","UBERON_0002097","eye skin gland","organ"
UBERON_0011186_UBERON_0000970,"","","UBERON_0000970","Krause's gland","organ"
UBERON_0013228_UBERON_0000970,"","organ part - tissue","UBERON_0000970","sweat gland of eyelid","organ"
UBERON_0013228_UBERON_0002097,"","organ part - tissue","UBERON_0002097","sweat gland of eyelid","organ"
UBERON_0013229_UBERON_0000970,"","organ part - ","UBERON_0000970","eyelid gland","organ"
UBERON_0013231_UBERON_0000970,"","organ part - tissue","UBERON_0000970","sebaceous gland of eyelid","organ"
UBERON_0013231_UBERON_0002097,"","organ part - tissue","UBERON_0002097","sebaceous gland of eyelid","organ"
UBERON_0018233_UBERON_0000970,"","organ part - tissue","UBERON_0000970","gland of Zeis","organ"
UBERON_0018233_UBERON_0002097,"","organ part - tissue","UBERON_0002097","gland of Zeis","organ"
UBERON_0005388_UBERON_0000970,"","organ part - ","UBERON_0000970","photoreceptor array","organ"
UBERON_0000966_UBERON_0000970,"","organ part - ","UBERON_0000970","retina","organ"
UBERON_0000053_UBERON_0000970,"","organ part - ","UBERON_0000970","macula lutea","organ"
UBERON_0001781_UBERON_0000970,"","organ part - ","UBERON_0000970","layer of retina","organ"
UBERON_0001782_UBERON_0000970,"","organ part - tissue","UBERON_0000970","pigmented layer of retina","organ"
UBERON_0001787_UBERON_0000970,"","organ part - ","UBERON_0000970","photoreceptor layer of retina","organ"
UBERON_0001788_UBERON_0000970,"","organ part - ","UBERON_0000970","outer limiting layer of retina","organ"
UBERON_0001789_UBERON_0000970,"","organ part - ","UBERON_0000970","outer nuclear layer of retina","organ"
UBERON_0001790_UBERON_0000970,"","organ part - ","UBERON_0000970","outer plexiform layer of retina","organ"
UBERON_0001791_UBERON_0000970,"","organ part - ","UBERON_0000970","inner nuclear layer of retina","organ"
UBERON_0001792_UBERON_0000970,"","organ part - ","UBERON_0000970","ganglionic layer of retina","organ"
UBERON_0001793_UBERON_0000970,"","organ part - ","UBERON_0000970","nerve fiber layer of retina","organ"
UBERON_0001794_UBERON_0000970,"","organ part - ","UBERON_0000970","inner limiting layer of retina","organ"
UBERON_0001795_UBERON_0000970,"","organ part - ","UBERON_0000970","inner plexiform layer of retina","organ"
UBERON_0008927_UBERON_0000970,"","organ part - ","UBERON_0000970","sublaminar layers S1 or S2","organ"
UBERON_0008922_UBERON_0000970,"","organ part - ","UBERON_0000970","sublaminar layer S1","organ"
UBERON_0008923_UBERON_0000970,"","organ part - ","UBERON_0000970","sublaminar layer S2","organ"
UBERON_0008928_UBERON_0000970,"","organ part - ","UBERON_0000970","sublaminar layers S2 or S3","organ"
UBERON_0008929_UBERON_0000970,"","organ part - ","UBERON_0000970","sublaminar layers S4 or S5","organ"
UBERON_0008925_UBERON_0000970,"","organ part - ","UBERON_0000970","sublaminar layer S4","organ"
UBERON_0008926_UBERON_0000970,"","organ part - ","UBERON_0000970","sublaminar layer S5","organ"
UBERON_0003902_UBERON_0000970,"","organ part - ","UBERON_0000970","retinal neural layer","organ"
UBERON_0001783_UBERON_0000970,"","organ part - ","UBERON_0000970","optic disc","organ"
UBERON_0004864_UBERON_0000970,"","organ part - ","UBERON_0000970","vasculature of retina","organ"
UBERON_0008921_UBERON_0000970,"","organ part - ","UBERON_0000970","substratum of layer of retina","organ"
UBERON_0009731_UBERON_0000970,"","organ part - ","UBERON_0000970","sublaminar layers S3 or S4","organ"
UBERON_0009732_UBERON_0000970,"","organ part - ","UBERON_0000970","sublaminar layers S1 or S2 or S5","organ"
UBERON_0009733_UBERON_0000970,"","organ part - ","UBERON_0000970","sublaminar layers S1 or S2 or S3","organ"
UBERON_0009734_UBERON_0000970,"","organ part - ","UBERON_0000970","sublaminar layers S2 or S3 or S4","organ"
UBERON_0009735_UBERON_0000970,"","organ part - ","UBERON_0000970","sublaminar layers S1 or S3 or S4","organ"
UBERON_0009736_UBERON_0000970,"","organ part - ","UBERON_0000970","sublaminar layers S3 or S4 or S5","organ"
UBERON_0009737_UBERON_0000970,"","organ part - ","UBERON_0000970","sublaminar layers S1 or S2 or S3 or S4","organ"
UBERON_0013682_UBERON_0000970,"","organ part - ","UBERON_0000970","peripheral region of retina","organ"
UBERON_0005389_UBERON_0000970,"","","UBERON_0000970","transparent eye structure","organ"
UBERON_0000965_UBERON_0000970,"","organ part - ","UBERON_0000970","lens of camera-type eye","organ"
UBERON_0019210_UBERON_0000970,"","organ part - ","UBERON_0000970","pole of lens","organ"
UBERON_0016459_UBERON_0000970,"","organ part - ","UBERON_0000970","posterior pole of lens","organ"
UBERON_0019208_UBERON_0000970,"","organ part - ","UBERON_0000970","anterior pole of lens","organ"
UBERON_0000389_UBERON_0000970,"","tissue","UBERON_0000970","lens cortex","organ"
UBERON_0000390_UBERON_0000970,"","organ part - ","UBERON_0000970","lens nucleus","organ"
UBERON_0001803_UBERON_0000970,"","tissue","UBERON_0000970","epithelium of lens","organ"
UBERON_0001804_UBERON_0000970,"","","UBERON_0000970","capsule of lens","organ"
UBERON_0002444_UBERON_0000970,"","organ part - ","UBERON_0000970","lens fiber","organ"
UBERON_0007625_UBERON_0000970,"","tissue","UBERON_0000970","pigment epithelium of eye","organ"
UBERON_0002506_UBERON_0000970,"","tissue","UBERON_0000970","iris epithelium","organ"
UBERON_0001772_UBERON_0000970,"","tissue","UBERON_0000970","corneal epithelium","organ"
UBERON_0001778_UBERON_0000970,"","tissue","UBERON_0000970","ciliary epithelium","organ"
UBERON_0001985_UBERON_0000970,"","tissue","UBERON_0000970","corneal endothelium","organ"
UBERON_0003844_UBERON_0000970,"","organ part - tissue","UBERON_0000970","upper eyelid epithelium","organ"
UBERON_0003845_UBERON_0000970,"","organ part - tissue","UBERON_0000970","lower eyelid epithelium","organ"
UBERON_0005638_UBERON_0000970,"","organ part - tissue","UBERON_0000970","anterior chamber epithelium","organ"
UBERON_0006763_UBERON_0000970,"","organ part - tissue","UBERON_0000970","epithelium of conjunctiva","organ"
UBERON_0010294_UBERON_0000970,"","organ part - tissue","UBERON_0000970","scleral endothelium","organ"
UBERON_0015808_UBERON_0000970,"","tissue","UBERON_0000970","eye epithelium","organ"
UBERON_0022284_UBERON_0000970,"","tissue","UBERON_0000970","lacrimal gland bud","organ"
UBERON_0035034_UBERON_0000970,"","organ part - tissue","UBERON_0000970","eyelid epithelium","organ"
UBERON_0000044_UBERON_0000045,"","","UBERON_0000045","dorsal root ganglion","organ"
UBERON_0000065_HUDECA_0000002,"","","HUDECA_0000002","respiratory tract","organ"
UBERON_0000072_UBERON_0000065,"","organ part - ","UBERON_0000065","proximo-distal subdivision of respiratory tract","organ"
UBERON_0001557_UBERON_0000065,"","organ part - ","UBERON_0000065","upper respiratory tract","organ"
UBERON_0001728_UBERON_0000065,"","organ part - ","UBERON_0000065","nasopharynx","organ"
UBERON_0004368_UBERON_0004765,"","organ part - ","UBERON_0004765","Reichert's cartilage","organ"
UBERON_0004368_UBERON_0000065,"","organ part - ","UBERON_0000065","Reichert's cartilage","organ"
UBERON_0004814_UBERON_0000065,"","organ part - tissue","UBERON_0000065","upper respiratory tract epithelium","organ"
UBERON_0015787_UBERON_0000065,"","organ part - ","UBERON_0000065","upper respiratory conduit","organ"
UBERON_0001558_UBERON_0000065,"","organ part - ","UBERON_0000065","lower respiratory tract","organ"
UBERON_0000170_UBERON_0000065,"","organ part - ","UBERON_0000065","pair of lungs","organ"
UBERON_0003580_UBERON_0000065,"","organ part - tissue","UBERON_0000065","lower respiratory tract connective tissue","organ"
UBERON_0000114_UBERON_0002048,"","organ part - tissue","UBERON_0002048","lung connective tissue","organ"
UBERON_0000114_UBERON_0000065,"","organ part - tissue","UBERON_0000065","lung connective tissue","organ"
UBERON_0003571_UBERON_0000065,"","organ part - tissue","UBERON_0000065","trachea connective tissue","organ"
UBERON_0003590_UBERON_0000065,"","organ part - tissue","UBERON_0000065","main bronchus connective tissue","organ"
UBERON_0003591_UBERON_0002048,"","organ part - tissue","UBERON_0002048","lobar bronchus connective tissue","organ"
UBERON_0003591_UBERON_0000065,"","organ part - tissue","UBERON_0000065","lobar bronchus connective tissue","organ"
UBERON_0003592_UBERON_0000065,"","organ part - tissue","UBERON_0000065","bronchus connective tissue","organ"
UBERON_0003615_UBERON_0000065,"","tissue","UBERON_0000065","lung elastic tissue","organ"
UBERON_0003616_UBERON_0000065,"","","UBERON_0000065","bronchus elastic tissue","organ"
UBERON_0003617_UBERON_0000065,"","organ part - tissue","UBERON_0000065","trachea elastic tissue","organ"
UBERON_0009644_UBERON_0000065,"","organ part - tissue","UBERON_0000065","trachea non-cartilage connective tissue","organ"
UBERON_0003603_UBERON_0004765,"","organ part - ","UBERON_0004765","lower respiratory tract cartilage","organ"
UBERON_0003603_UBERON_0000065,"","organ part - ","UBERON_0000065","lower respiratory tract cartilage","organ"
UBERON_0006679_UBERON_0004765,"","organ part - ","UBERON_0004765","carina of trachea","organ"
UBERON_0006679_UBERON_0000065,"","organ part - ","UBERON_0000065","carina of trachea","organ"
UBERON_0001102_UBERON_0004765,"","organ part - ","UBERON_0004765","cartilage of main bronchus","organ"
UBERON_0001102_UBERON_0000065,"","organ part - ","UBERON_0000065","cartilage of main bronchus","organ"
UBERON_0001956_UBERON_0004765,"","organ part - ","UBERON_0004765","cartilage of bronchus","organ"
UBERON_0001956_UBERON_0000065,"","organ part - ","UBERON_0000065","cartilage of bronchus","organ"
UBERON_0003604_UBERON_0004765,"","organ part - ","UBERON_0004765","trachea cartilage","organ"
UBERON_0003604_UBERON_0000065,"","organ part - ","UBERON_0000065","trachea cartilage","organ"
UBERON_0004233_UBERON_0000065,"","organ part - tissue","UBERON_0000065","lower respiratory tract smooth muscle","organ"
UBERON_0003387_UBERON_0000065,"","organ part - tissue","UBERON_0000065","smooth muscle of trachea","organ"
UBERON_0004241_UBERON_0000065,"","organ part - tissue","UBERON_0000065","main bronchus smooth muscle","organ"
UBERON_0004242_UBERON_0000065,"","organ part - tissue","UBERON_0000065","bronchus smooth muscle","organ"
UBERON_0004515_UBERON_0000065,"","organ part - tissue","UBERON_0000065","smooth muscle tissue of bronchiole","organ"
UBERON_0004516_UBERON_0000065,"","organ part - tissue","UBERON_0000065","smooth muscle tissue of terminal bronchiole","organ"
UBERON_0004517_UBERON_0000065,"","organ part - tissue","UBERON_0000065","smooth muscle tissue of respiratory bronchiole","organ"
UBERON_0004895_UBERON_0000065,"","organ part - tissue","UBERON_0000065","alveolar smooth muscle","organ"
UBERON_0006680_UBERON_0000065,"","organ part - tissue","UBERON_0000065","trachealis","organ"
UBERON_0004815_UBERON_0000065,"","organ part - tissue","UBERON_0000065","lower respiratory tract epithelium","organ"
UBERON_0004821_UBERON_0002048,"","organ part - tissue","UBERON_0002048","pulmonary alveolus epithelium","organ"
UBERON_0004821_UBERON_0000065,"","organ part - tissue","UBERON_0000065","pulmonary alveolus epithelium","organ"
UBERON_0000115_UBERON_0002048,"","organ part - tissue","UBERON_0002048","lung epithelium","organ"
UBERON_0000115_UBERON_0000065,"","organ part - tissue","UBERON_0000065","lung epithelium","organ"
UBERON_0001901_UBERON_0000065,"","organ part - tissue","UBERON_0000065","epithelium of trachea","organ"
UBERON_0001955_UBERON_0002048,"","organ part - tissue","UBERON_0002048","epithelium of respiratory bronchiole","organ"
UBERON_0001955_UBERON_0000065,"","organ part - tissue","UBERON_0000065","epithelium of respiratory bronchiole","organ"
UBERON_0001958_UBERON_0002048,"","organ part - tissue","UBERON_0002048","terminal bronchiole epithelium","organ"
UBERON_0001958_UBERON_0000065,"","organ part - tissue","UBERON_0000065","terminal bronchiole epithelium","organ"
UBERON_0002031_UBERON_0000065,"","organ part - tissue","UBERON_0000065","epithelium of bronchus","organ"
UBERON_0002051_UBERON_0002048,"","organ part - tissue","UBERON_0002048","epithelium of bronchiole","organ"
UBERON_0002051_UBERON_0000065,"","organ part - tissue","UBERON_0000065","epithelium of bronchiole","organ"
UBERON_0002169_UBERON_0002048,"","organ part - tissue","UBERON_0002048","alveolar sac","organ"
UBERON_0002169_UBERON_0000065,"","organ part - tissue","UBERON_0000065","alveolar sac","organ"
UBERON_0002339_UBERON_0002048,"","organ part - tissue","UBERON_0002048","epithelium of lobar bronchus","organ"
UBERON_0002339_UBERON_0000065,"","organ part - tissue","UBERON_0000065","epithelium of lobar bronchus","organ"
UBERON_0002340_UBERON_0000065,"","organ part - tissue","UBERON_0000065","epithelium of main bronchus","organ"
UBERON_0002341_UBERON_0002048,"","organ part - tissue","UBERON_0002048","epithelium of segmental bronchus","organ"
UBERON_0002341_UBERON_0000065,"","organ part - tissue","UBERON_0000065","epithelium of segmental bronchus","organ"
UBERON_0003279_UBERON_0000065,"","organ part - tissue","UBERON_0000065","endothelium of trachea","organ"
UBERON_0003280_UBERON_0000065,"","organ part - tissue","UBERON_0000065","endothelium of main bronchus","organ"
UBERON_0004818_UBERON_0000065,"","organ part - tissue","UBERON_0000065","terminal bronchus epithelium","organ"
UBERON_0013479_UBERON_0002048,"","organ part - tissue","UBERON_0002048","lung endothelium","organ"
UBERON_0013479_UBERON_0000065,"","organ part - tissue","UBERON_0000065","lung endothelium","organ"
UBERON_0007196_UBERON_0000065,"","organ part - ","UBERON_0000065","tracheobronchial tree","organ"
UBERON_0009778_UBERON_0000065,"","organ part - ","UBERON_0000065","pleural sac","organ"
UBERON_0001737_UBERON_0000065,"","organ part - ","UBERON_0000065","larynx","organ"
UBERON_0035453_UBERON_0000065,"","organ part - ","UBERON_0000065","laryngeal ventricle","organ"
UBERON_0036068_UBERON_0000065,"","organ part - ","UBERON_0000065","subglottis","organ"
UBERON_0036263_UBERON_0000065,"","organ part - ","UBERON_0000065","supraglottic part of larynx","organ"
UBERON_0001743_UBERON_0000065,"","organ part - ","UBERON_0000065","ligament of larynx","organ"
UBERON_0013168_UBERON_0000065,"","organ part - ","UBERON_0000065","thyroepiglottic ligament","organ"
UBERON_0001730_UBERON_0000065,"","organ part - ","UBERON_0000065","extrinsic ligament of larynx","organ"
UBERON_0006325_UBERON_0000065,"","organ part - ","UBERON_0000065","laryngeal intrinsic ligament","organ"
UBERON_0011311_UBERON_0000065,"","organ part - ","UBERON_0000065","hyoepiglottic ligament","organ"
UBERON_0013167_UBERON_0000065,"","organ part - ","UBERON_0000065","cricopharyngeal ligament","organ"
UBERON_0013169_UBERON_0000065,"","organ part - ","UBERON_0000065","vestibular ligament","organ"
UBERON_0013170_UBERON_0000065,"","organ part - ","UBERON_0000065","cricoarytenoid ligament","organ"
UBERON_0013171_UBERON_0000065,"","organ part - ","UBERON_0000065","cricothyroid ligament","organ"
UBERON_0013172_UBERON_0000065,"","organ part - ","UBERON_0000065","cricotracheal ligament","organ"
UBERON_0001824_UBERON_0000065,"","organ part - ","UBERON_0000065","mucosa of larynx","organ"
UBERON_0002486_UBERON_0000065,"","organ part - ","UBERON_0000065","glottis","organ"
UBERON_0003583_UBERON_0000065,"","organ part - tissue","UBERON_0000065","larynx connective tissue","organ"
UBERON_0006326_UBERON_0004765,"","organ part - tissue","UBERON_0004765","base of arytenoid","organ"
UBERON_0006326_UBERON_0000065,"","organ part - tissue","UBERON_0000065","base of arytenoid","organ"
UBERON_0001741_UBERON_0004765,"","organ part - tissue","UBERON_0004765","corniculate cartilage","organ"
UBERON_0001741_UBERON_0000065,"","organ part - tissue","UBERON_0000065","corniculate cartilage","organ"
UBERON_0006494_UBERON_0000065,"","organ part - tissue","UBERON_0000065","apex of arytenoid","organ"
UBERON_0011157_UBERON_0004765,"","organ part - tissue","UBERON_0004765","cuneiform cartilage","organ"
UBERON_0011157_UBERON_0000065,"","organ part - tissue","UBERON_0000065","cuneiform cartilage","organ"
UBERON_0004478_UBERON_0000065,"","organ part - ","UBERON_0000065","musculature of larynx","organ"
UBERON_0004778_UBERON_0000065,"","organ part - tissue","UBERON_0000065","larynx submucosa","organ"
UBERON_0004816_UBERON_0000065,"","organ part - tissue","UBERON_0000065","larynx epithelium","organ"
UBERON_0010212_UBERON_0000065,"","organ part - ","UBERON_0000065","laryngeal apparatus","organ"
UBERON_0010221_UBERON_0000065,"","organ part - tissue","UBERON_0000065","laryngeal associated mesenchyme","organ"
UBERON_0014372_UBERON_0000065,"","organ part - ","UBERON_0000065","fibroelastic membrane of larynx","organ"
UBERON_0014385_UBERON_0000065,"","organ part - ","UBERON_0000065","aryepiglottic fold","organ"
UBERON_0000117_UBERON_0000065,"","","UBERON_0000065","respiratory tube","organ"
UBERON_0002041_UBERON_0000065,"","","UBERON_0000065","terminal bronchus","organ"
UBERON_0002173_UBERON_0000065,"","","UBERON_0000065","pulmonary alveolar duct","organ"
UBERON_0002182_UBERON_0000065,"","","UBERON_0000065","main bronchus","organ"
UBERON_0003518_UBERON_0000065,"","","UBERON_0000065","main bronchus blood vessel","organ"
UBERON_0004949_UBERON_0000065,"","organ part - tissue","UBERON_0000065","submucosa of main bronchus","organ"
UBERON_0005036_UBERON_0000065,"","organ part - ","UBERON_0000065","mucosa of main bronchus","organ"
UBERON_0009504_UBERON_0000065,"","tissue","UBERON_0000065","mesenchyme of main bronchus","organ"
UBERON_0012083_UBERON_0000065,"","","UBERON_0000065","lumen of primary bronchus","organ"
UBERON_0002183_UBERON_0002048,"","organ part - ","UBERON_0002048","lobar bronchus","organ"
UBERON_0002183_UBERON_0000065,"","organ part - ","UBERON_0000065","lobar bronchus","organ"
UBERON_0004884_UBERON_0002048,"","tissue","UBERON_0002048","lobar bronchus mesenchyme","organ"
UBERON_0004884_UBERON_0000065,"","tissue","UBERON_0000065","lobar bronchus mesenchyme","organ"
UBERON_0004889_UBERON_0002048,"","","UBERON_0002048","lobar bronchus vasculature","organ"
UBERON_0004889_UBERON_0000065,"","","UBERON_0000065","lobar bronchus vasculature","organ"
UBERON_0004950_UBERON_0002048,"","organ part - tissue","UBERON_0002048","submucosa of lobar bronchus","organ"
UBERON_0004950_UBERON_0000065,"","organ part - tissue","UBERON_0000065","submucosa of lobar bronchus","organ"
UBERON_0005037_UBERON_0002048,"","organ part - ","UBERON_0002048","mucosa of lobar bronchus","organ"
UBERON_0005037_UBERON_0000065,"","organ part - ","UBERON_0000065","mucosa of lobar bronchus","organ"
UBERON_0012084_UBERON_0002048,"","","UBERON_0002048","lumen of secondary bronchus","organ"
UBERON_0012084_UBERON_0000065,"","","UBERON_0000065","lumen of secondary bronchus","organ"
UBERON_0002184_UBERON_0002048,"","organ part - ","UBERON_0002048","segmental bronchus","organ"
UBERON_0002184_UBERON_0000065,"","organ part - ","UBERON_0000065","segmental bronchus","organ"
UBERON_0004951_UBERON_0002048,"","organ part - tissue","UBERON_0002048","submucosa of segmental bronchus","organ"
UBERON_0004951_UBERON_0000065,"","organ part - tissue","UBERON_0000065","submucosa of segmental bronchus","organ"
UBERON_0005038_UBERON_0002048,"","organ part - ","UBERON_0002048","mucosa of segmental bronchus","organ"
UBERON_0005038_UBERON_0000065,"","organ part - ","UBERON_0000065","mucosa of segmental bronchus","organ"
UBERON_0012085_UBERON_0002048,"","","UBERON_0002048","lumen of tertiary bronchus","organ"
UBERON_0012085_UBERON_0000065,"","","UBERON_0000065","lumen of tertiary bronchus","organ"
UBERON_0002185_UBERON_0000065,"","","UBERON_0000065","bronchus","organ"
UBERON_0000410_UBERON_0000065,"","organ part - ","UBERON_0000065","bronchial mucosa","organ"
UBERON_0005039_UBERON_0000065,"","organ part - ","UBERON_0000065","mucosa of bronchiole","organ"
UBERON_0005040_UBERON_0000065,"","organ part - ","UBERON_0000065","mucosa of terminal bronchiole","organ"
UBERON_0005041_UBERON_0000065,"","organ part - ","UBERON_0000065","mucosa of respiratory bronchiole","organ"
UBERON_0001957_UBERON_0000065,"","organ part - tissue","UBERON_0000065","submucosa of bronchus","organ"
UBERON_0001963_UBERON_0000065,"","tissue","UBERON_0000065","bronchial-associated lymphoid tissue","organ"
UBERON_0002186_UBERON_0000065,"","organ part - ","UBERON_0000065","bronchiole","organ"
UBERON_0002187_UBERON_0000065,"","organ part - ","UBERON_0000065","terminal bronchiole","organ"
UBERON_0002188_UBERON_0000065,"","","UBERON_0000065","respiratory bronchiole","organ"
UBERON_0012067_UBERON_0000065,"","organ part - ","UBERON_0000065","primary bronchiole","organ"
UBERON_0004800_UBERON_0000065,"","","UBERON_0000065","bronchus basal lamina","organ"
UBERON_0012082_UBERON_0000065,"","","UBERON_0000065","bronchial lumen","organ"
UBERON_0016481_UBERON_0000065,"","","UBERON_0000065","bronchial lymph node","organ"
UBERON_0016481_UBERON_0005057,"","","UBERON_0005057","bronchial lymph node","organ"
UBERON_0003126_UBERON_0000065,"","","UBERON_0000065","trachea","organ"
UBERON_0002202_UBERON_0000065,"","organ part - tissue","UBERON_0000065","submucosa of trachea","organ"
UBERON_0003505_UBERON_0000065,"","","UBERON_0000065","trachea blood vessel","organ"
UBERON_0006833_UBERON_0000065,"","","UBERON_0000065","lumen of trachea","organ"
UBERON_0009505_UBERON_0000065,"","tissue","UBERON_0000065","mesenchyme of trachea","organ"
UBERON_0011148_UBERON_0000065,"","","UBERON_0000065","submucosal gland","organ"
UBERON_0001212_UBERON_0000065,"","organ part - ","UBERON_0000065","duodenal gland","organ"
UBERON_0005203_UBERON_0000065,"","organ part - tissue","UBERON_0000065","trachea gland","organ"
UBERON_0008989_UBERON_0001043,"","organ part - ","UBERON_0001043","submocosal esophageal gland","organ"
UBERON_0008989_UBERON_0000065,"","organ part - ","UBERON_0000065","submocosal esophageal gland","organ"
UBERON_0015247_UBERON_0000065,"","organ part - ","UBERON_0000065","bifurcation of trachea","organ"
UBERON_0035767_UBERON_0002048,"","","UBERON_0002048","intrapulmonary bronchus","organ"
UBERON_0035767_UBERON_0000065,"","","UBERON_0000065","intrapulmonary bronchus","organ"
UBERON_0000981_UBERON_0004765,"","","UBERON_0004765","femur","organ"
UBERON_0000980_UBERON_0004765,"","organ part - ","UBERON_0004765","trochanter","organ"
UBERON_0002503_UBERON_0004765,"","organ part - ","UBERON_0004765","greater trochanter","organ"
UBERON_0002504_UBERON_0004765,"","organ part - ","UBERON_0004765","lesser trochanter","organ"
UBERON_0008786_UBERON_0004765,"","organ part - ","UBERON_0004765","third trochanter","organ"
UBERON_0004384_UBERON_0004765,"","organ part - ","UBERON_0004765","epiphysis of femur","organ"
UBERON_0004406_UBERON_0004765,"","organ part - ","UBERON_0004765","distal epiphysis of femur","organ"
UBERON_0009980_UBERON_0004765,"","organ part - ","UBERON_0004765","condyle of femur","organ"
UBERON_0009984_UBERON_0004765,"","organ part - ","UBERON_0004765","medial condyle of femur","organ"
UBERON_0009985_UBERON_0004765,"","organ part - ","UBERON_0004765","lateral condyle of femur","organ"
UBERON_0004412_UBERON_0004765,"","organ part - ","UBERON_0004765","proximal epiphysis of femur","organ"
UBERON_0006767_UBERON_0004765,"","organ part - ","UBERON_0004765","head of femur","organ"
UBERON_0012078_UBERON_0004765,"","organ part - ","UBERON_0004765","fovea capitis of femur","organ"
UBERON_0013633_UBERON_0004765,"","organ part - ","UBERON_0004765","intertrochanteric crest","organ"
UBERON_0013634_UBERON_0004765,"","organ part - ","UBERON_0004765","intertrochanteric line","organ"
