UBERON_0001726;papilla of tongue
UBERON_0004660;mandible coronoid process
UBERON_0004661;mandible temporal crest
UBERON_0001269;acetabular part of hip bone
UBERON_0007830;pelvic girdle bone/zone
UBERON_0001274;ischium
UBERON_0009000;ischial spine
UBERON_0014430;sciatic notch
UBERON_0014411;greater sciatic notch
UBERON_0014436;lesser sciatic notch
UBERON_0014441;ischial ramus
UBERON_0014443;inferior ischial ramus
UBERON_0014442;superior ischial ramus
UBERON_0001275;pubis
UBERON_0003699;pubic symphysis
UBERON_0014444;pubic ramus
UBERON_0014438;superior pubic ramus
UBERON_0014439;inferior pubic ramus
UBERON_0001273;ilium
UBERON_0010746;iliac blade
UBERON_0010747;body of ilium
UBERON_0011015;iliac fossa
UBERON_0013707;iliac spine
UBERON_0013712;anterior iliac spine
UBERON_0013708;anterior superior iliac spine
UBERON_0013709;anterior inferior iliac spine
UBERON_0013713;posterior iliac spine
UBERON_0013710;posterior superior iliac spine
UBERON_0013711;posterior inferior iliac spine
UBERON_0001272;innominate bone
UBERON_0014440;ischiopubic ramus
UBERON_0014445;acetabular fossa
UBERON_0014446;acetabular notch
UBERON_0006722;manubrium of malleus
UBERON_0001694;petrous part of temporal bone
UBERON_0001839;bony labyrinth
UBERON_0001844;cochlea
UBERON_0001863;scala vestibuli
UBERON_0001864;scala tympani
UBERON_0002295;scala media
UBERON_0006106;cochlear canal
UBERON_0006586;otolymph
UBERON_0001845;perilymph
UBERON_0001852;endolymph
UBERON_0007223;osseus cochlea
UBERON_0005236;osseus labyrinth vestibule
UBERON_0002501;oval window
UBERON_0002502;round window of inner ear
UBERON_0003995;subarcuate fossa
UBERON_0005411;bony otic capsule
UBERON_0011130;temporomandibular joint primordium
UBERON_0001755;distal part of styloid process of temporal bone
UBERON_0002496;stapes base
UBERON_0010273;zone of hyoid bone
UBERON_0003999;hyoid bone body
UBERON_0003997;hyoid bone greater horn
UBERON_0003998;hyoid bone lesser horn
UBERON_0004108;clivus of occipital bone
UBERON_0004546;cribriform plate
UBERON_0004651;scapula spine
UBERON_0005055;zone of long bone
UBERON_0000144;trochlea of humerus
UBERON_0000980;trochanter
UBERON_0002504;lesser trochanter
UBERON_0002503;greater trochanter
UBERON_0008786;third trochanter
UBERON_0004769;diaphysis
UBERON_0001010;diaphysis of ulna
UBERON_0001028;diaphysis of radius
UBERON_0004652;humerus diaphysis
UBERON_0006862;diaphysis of femur
UBERON_0006865;metaphysis of femur
UBERON_0006863;proximal metaphysis of femur
UBERON_0006864;distal metaphysis of femur
UBERON_0013279;diaphysis of fibula
UBERON_0013280;diaphysis of tibia
UBERON_0013752;diaphysis of metacarpal bone
UBERON_0013774;diaphysis of metatarsal bone
UBERON_0001438;metaphysis
UBERON_0004377;distal metaphysis
UBERON_0004378;proximal metaphysis
UBERON_0013749;metaphysis of humerus
UBERON_0013750;metaphysis of tibia
UBERON_0013751;metaphysis of radius
UBERON_0016928;metaphysis of fibula
UBERON_0002516;epiphyseal plate
UBERON_0006768;epiphyseal line
UBERON_0006861;diaphysis proper
UBERON_0016423;compact bone of diaphysis
UBERON_0001012;head of radius
UBERON_0009989;condyle of tibia
UBERON_0009991;lateral condyle of tibia
UBERON_0009990;medial condyle of tibia
UBERON_0009980;condyle of femur
UBERON_0009984;medial condyle of femur
UBERON_0009985;lateral condyle of femur
UBERON_0001437;epiphysis
UBERON_0004379;distal epiphysis
UBERON_0004404;distal epiphysis of humerus
UBERON_0006806;entepicondyle of humerus
UBERON_0006807;ectepicondyle of humerus
UBERON_0009988;condyle of humerus
UBERON_0012130;olecranon fossa
UBERON_0004405;distal epiphysis of tibia
UBERON_0004406;distal epiphysis of femur
UBERON_0004407;distal epiphysis of radius
UBERON_0004408;distal epiphysis of ulna
UBERON_0004410;distal epiphysis of fibula
UBERON_0004448;distal epiphysis of phalanx
UBERON_0004409;distal epiphysis of phalanx of manus
UBERON_0014886;distal epiphysis of distal phalanx of manual digit
UBERON_0014881;distal epiphysis of distal phalanx of manual digit 1
UBERON_0014882;distal epiphysis of distal phalanx of manual digit 2
UBERON_0014883;distal epiphysis of distal phalanx of manual digit 3
UBERON_0014884;distal epiphysis of distal phalanx of manual digit 4
UBERON_0014885;distal epiphysis of distal phalanx of manual digit 5
UBERON_0013122;distal epiphysis of phalanx of pes
UBERON_0014876;distal epiphysis of distal phalanx of pedal digit
UBERON_0014871;distal epiphysis of distal phalanx of pedal digit 1
UBERON_0014872;distal epiphysis of distal phalanx of pedal digit 2
UBERON_0014873;distal epiphysis of distal phalanx of pedal digit 3
UBERON_0014874;distal epiphysis of distal phalanx of pedal digit 4
UBERON_0014875;distal epiphysis of distal phalanx of pedal digit 5
UBERON_0014887;distal epiphysis of distal phalanx of digit
UBERON_0013753;distal epiphysis of metacarpal bone
UBERON_0004401;bone tissue of distal epiphysis
UBERON_0004380;proximal epiphysis
UBERON_0004411;proximal epiphysis of humerus
UBERON_0006801;proximal head of humerus
UBERON_0011187;ventral tubercle of humerus
UBERON_0011188;lesser tubercle of humerus
UBERON_0004413;proximal epiphysis of radius
UBERON_0008775;proximal epiphysis of fibula
UBERON_0004412;proximal epiphysis of femur
UBERON_0006767;head of femur
UBERON_0012078;fovea capitis of femur
UBERON_0013633;intertrochanteric crest
UBERON_0013634;intertrochanteric line
UBERON_0004415;proximal epiphysis of metatarsal bone
UBERON_0004427;proximal epiphysis of first metatarsal bone
UBERON_0004428;proximal epiphysis of second metatarsal bone
UBERON_0004429;proximal epiphysis of third metatarsal bone
UBERON_0004430;proximal epiphysis of fourth metatarsal bone
UBERON_0004431;proximal epiphysis of fifth metatarsal bone
UBERON_0004416;proximal epiphysis of metacarpal bone
UBERON_0004422;proximal epiphysis of first metacarpal bone
UBERON_0004423;proximal epiphysis of second metacarpal bone
UBERON_0004424;proximal epiphysis of third metacarpal bone
UBERON_0004425;proximal epiphysis of fourth metacarpal bone
UBERON_0004426;proximal epiphysis of fifth metacarpal bone
UBERON_0004447;proximal epiphysis of phalanx
UBERON_0004414;proximal epiphysis of phalanx of manus
UBERON_0004417;proximal epiphysis of phalanx of manual digit 1
UBERON_0004445;proximal epiphysis of proximal phalanx of manual digit 1
UBERON_0004444;proximal epiphysis of distal phalanx of manual digit 1
UBERON_0004418;proximal epiphysis of phalanx of manual digit 2
UBERON_0004432;proximal epiphysis of distal phalanx of manual digit 2
UBERON_0004436;proximal epiphysis of middle phalanx of manual digit 2
UBERON_0004440;proximal epiphysis of proximal phalanx of manual digit 2
UBERON_0004419;proximal epiphysis of phalanx of manual digit 3
UBERON_0004433;proximal epiphysis of distal phalanx of manual digit 3
UBERON_0004437;proximal epiphysis of middle phalanx of manual digit 3
UBERON_0004441;proximal epiphysis of proximal phalanx of manual digit 3
UBERON_0004420;proximal epiphysis of phalanx of manual digit 4
UBERON_0004434;proximal epiphysis of distal phalanx of manual digit 4
UBERON_0004438;proximal epiphysis of middle phalanx of manual digit 4
UBERON_0004442;proximal epiphysis of proximal phalanx of manual digit 4
UBERON_0004421;proximal epiphysis of phalanx of manual digit 5
UBERON_0004435;proximal epiphysis of distal phalanx of manual digit 5
UBERON_0004439;proximal epiphysis of middle phalanx of manual digit 5
UBERON_0004443;proximal epiphysis of proximal phalanx of manual digit 5
UBERON_0013121;proximal epiphysis of phalanx of pes
UBERON_0006822;proximal epiphysis of ulna
UBERON_0006810;olecranon
UBERON_0008449;trochlear notch
UBERON_0010994;coronoid process of ulna
UBERON_0008772;proximal epiphysis of tibia
UBERON_0004402;bone tissue of proximal epiphysis
UBERON_0004382;epiphysis of humerus
UBERON_0004383;epiphysis of tibia
UBERON_0004384;epiphysis of femur
UBERON_0004385;epiphysis of radius
UBERON_0004386;epiphysis of ulna
UBERON_0004388;epiphysis of fibula
UBERON_0004390;epiphysis of metacarpal bone
UBERON_0004391;epiphysis of first metacarpal bone
UBERON_0004392;epiphysis of second metacarpal bone
UBERON_0004393;epiphysis of third metacarpal bone
UBERON_0004394;epiphysis of fourth metacarpal bone
UBERON_0011104;epiphysis of fifth metacarpal bone
UBERON_0004446;epiphysis of phalanx
UBERON_0004387;epiphysis of phalanx of manus
UBERON_0011977;epiphysis of proximal phalanx of manus
UBERON_0011978;epiphysis of middle phalanx of manus
UBERON_0011979;epiphysis of distal phalanx of manus
UBERON_0011974;epiphysis of proximal phalanx of pes
UBERON_0011975;epiphysis of middle phalanx of pes
UBERON_0011976;epiphysis of distal phalanx of pes
UBERON_0011973;epiphysis of phalanx of pes
UBERON_0004389;epiphysis of metatarsal bone
UBERON_0004395;epiphysis of first metatarsal bone
UBERON_0004396;epiphysis of second metatarsal bone
UBERON_0004397;epiphysis of third metatarsal bone
UBERON_0004398;epiphysis of fourth metatarsal bone
UBERON_0004399;epiphysis of fifth metatarsal bone
UBERON_0004400;bone tissue of epiphysis
UBERON_0004403;periosteum of epiphysis
UBERON_0010388;proximal segment of rib
UBERON_0002230;head of rib
UBERON_0002231;body of rib
UBERON_0010424;distal segment of rib
UBERON_0006805;sternal end of clavicle
UBERON_0013069;popliteal area
UBERON_0016497;epicondyle of humerus
UBERON_0005342;malleus head
UBERON_0006326;base of arytenoid
UBERON_0006776;annular epiphysis
UBERON_0006811;occipital condyle
UBERON_0006837;tegmen tympani
UBERON_0007170;squamous part of occipital bone
UBERON_0007172;angle of scapula
UBERON_0007175;inferior angle of scapula
UBERON_0007176;superior angle of scapula
UBERON_0011941;lateral angle of scapula
UBERON_0018265;anterior root of zygomatic arch
UBERON_0018542;mandibular symphyseal region
UBERON_0009978;epicondyle
UBERON_0009979;condyle
UBERON_0010066;tympanic plate
UBERON_0010355;ossification center
UBERON_0009638;orbitosphenoid ossification center
UBERON_0009637;alisphenoid ossification center
UBERON_0010356;primary ossification center
UBERON_0010357;secondary ossification center
UBERON_0011244;perpendicular plate of ethmoid
UBERON_0011309;body of mandible
UBERON_0011627;orbital part of frontal bone
UBERON_0012109;zygomatic process of frontal bone
UBERON_0012110;frontal process of zygomatic bone
UBERON_0013068;palatine torus
UBERON_0013135;interdental plate
UBERON_0014386;vertebral endplate
UBERON_0016412;central part of body of bony vertebral centrum
UBERON_0016419;bony part of vertebral arch
UBERON_0017670;bony part of cervical vertebral arch
UBERON_0017671;bony part of vertebral arch of first sacral vertebra
UBERON_0017690;internal surface of frontal bone
UBERON_0017692;internal surface of cranial base
UBERON_0000014;zone of skin
UBERON_0001085;skin of trunk
UBERON_0001068;skin of back
UBERON_0009014;lower back skin
UBERON_0009015;upper back skin
UBERON_0001418;skin of thorax
UBERON_0003836;abdominal segment skin
UBERON_0001416;skin of abdomen
UBERON_0001415;skin of pelvis
UBERON_0034726;trunk taste bud
UBERON_0001331;skin of penis
UBERON_0001419;skin of limb
UBERON_0003532;hindlimb skin
UBERON_0001511;skin of leg
UBERON_0001510;skin of knee
UBERON_0004262;upper leg skin
UBERON_0004264;lower leg skin
UBERON_0001513;skin of pes
UBERON_0001512;skin of ankle
UBERON_0003530;pedal digit skin
UBERON_0005277;dorsal skin of toe
UBERON_0005279;nail bed of toe
UBERON_0009567;nail of pedal digit
UBERON_0011278;nail of pedal digit 1
UBERON_0011279;nail of pedal digit 2
UBERON_0011280;nail of pedal digit 3
UBERON_0011281;nail of pedal digit 4
UBERON_0011282;nail of pedal digit 5
UBERON_0013778;skin of sole of pes
UBERON_0003531;forelimb skin
UBERON_0001519;skin of manus
UBERON_0001518;skin of wrist
UBERON_0003533;manual digit skin
UBERON_0005276;dorsal skin of finger
UBERON_0005278;nail bed of finger
UBERON_0009565;nail of manual digit
UBERON_0011273;nail of manual digit 1
UBERON_0011274;nail of manual digit 2
UBERON_0011275;nail of manual digit 3
UBERON_0011276;nail of manual digit 4
UBERON_0011277;nail of manual digit 5
UBERON_0013777;skin of palm of manus
UBERON_0002427;arm skin
UBERON_0003403;skin of forearm
UBERON_0001517;skin of elbow
UBERON_0004263;upper arm skin
UBERON_0015790;autopod skin
UBERON_0013776;skin of palmar/plantar part of autopod
UBERON_0015249;digit skin
UBERON_0001483;skin of shoulder
UBERON_0001554;skin of hip
UBERON_0003534;tail skin
UBERON_0004084;genital labium
UBERON_0004014;labium minora
UBERON_0004085;labium majora
UBERON_0005298;skin of clitoris
UBERON_0007121;skin nerve field
UBERON_0012180;head or neck skin
UBERON_0001084;skin of head
UBERON_1000021;skin of face
UBERON_0001457;skin of eyelid
UBERON_0008803;skin of cheek
UBERON_0015476;nose skin
UBERON_0016462;periorbital skin
UBERON_0016475;skin of forehead
UBERON_0018151;skin of upper lip
UBERON_0001458;skin of lip
UBERON_0001459;skin of external ear
UBERON_0016915;vermilion
UBERON_0034720;head taste bud
UBERON_0001417;skin of neck
UBERON_0015474;axilla skin
UBERON_0015479;scrotum skin
UBERON_0019204;skin epithelium
UBERON_0005975;hair follicle bulge
UBERON_0006004;hair follicle matrix region
UBERON_0006005;hair follicle isthmus
UBERON_0035610;hair canal
UBERON_0036150;skin appendage follicle
UBERON_0002073;hair follicle
UBERON_0015252;coat hair follicle
UBERON_0005932;bulb of hair follicle
UBERON_0005933;hair root sheath
UBERON_0005941;hair inner root sheath
UBERON_0005942;hair outer root sheath
UBERON_0005943;hair root sheath matrix
UBERON_0005968;infundibulum of hair follicle
UBERON_0003967;cutaneous elastic tissue
UBERON_0008877;epidermal-dermal junction
UBERON_0019210;pole of lens
UBERON_0016459;posterior pole of lens
UBERON_0019208;anterior pole of lens
UBERON_0034680;laryngeal prominence
UBERON_0035213;basal zone of heart
UBERON_0035276;epigastrium
UBERON_0035331;base of prostate
UBERON_0035377;transverse fold of rectum
UBERON_0035416;diaphragma sellae
UBERON_0035431;mediastinal pleura
UBERON_0035453;laryngeal ventricle
UBERON_0009853;body of uterus
UBERON_0035468;costodiaphragmatic recess
UBERON_0035536;body of gallbladder
UBERON_0035606;cartilage of external acoustic meatus
UBERON_0035837;apical region of heart ventricle
UBERON_0000390;lens nucleus
UBERON_0009870;zone of stomach
UBERON_0001164;greater curvature of stomach
UBERON_0001160;fundus of stomach
UBERON_0004933;submucosa of fundus of stomach
UBERON_0004994;mucosa of fundus of stomach
UBERON_0005477;stomach fundus epithelium
UBERON_0010038;fundic gastric gland
UBERON_0016501;muscularis mucosae of fundus of stomach
UBERON_0016511;lamina propria of fundus of stomach
UBERON_0012503;serosa of fundus of stomach
UBERON_0016502;stomach fundus lumen
UBERON_0001161;body of stomach
UBERON_0004934;submucosa of body of stomach
UBERON_0004995;mucosa of body of stomach
UBERON_0001162;cardia of stomach
UBERON_0004550;gastroesophageal sphincter
UBERON_0004935;submucosa of cardia of stomach
UBERON_0004996;mucosa of cardia of stomach
UBERON_0001163;lesser curvature of stomach
UBERON_0001166;pylorus
UBERON_0001165;pyloric antrum
UBERON_0004936;submucosa of pyloric antrum
UBERON_0004997;mucosa of pyloric antrum
UBERON_0001202;pyloric sphincter
UBERON_0004937;submucosa of pylorus
UBERON_0004998;mucosa of pylorus
UBERON_0005637;pyloric region epithelium
UBERON_0008858;pyloric canal
UBERON_0011953;stomach glandular region
UBERON_0002399;lesser omentum
UBERON_0012471;hepatogastric ligament
UBERON_0012472;hepatoduodenal ligament
UBERON_0001351;lacrimal sac
UBERON_0005017;mucosa of lacrimal sac
UBERON_0011186;Krause's gland
UBERON_0001848;auricular cartilage
UBERON_0002444;lens fiber
UBERON_0010188;protuberance
UBERON_0006260;lingual swellings
UBERON_0006756;median lingual swelling
UBERON_0006757;lateral lingual swelling
UBERON_0002539;pharyngeal arch
UBERON_0003115;pharyngeal arch 4
UBERON_0003121;pharyngeal arch artery 4
UBERON_0005662;4th arch ectoderm
UBERON_0005666;4th arch endoderm
UBERON_0005691;4th arch mesenchyme
UBERON_0010256;4th arch mesenchyme from neural crest
UBERON_0010345;4th arch mesenchyme from head mesenchyme
UBERON_0003066;pharyngeal arch 2
UBERON_0003119;pharyngeal arch artery 2
UBERON_0004368;Reichert's cartilage
UBERON_0005660;2nd arch ectoderm
UBERON_0005664;2nd arch endoderm
UBERON_0005689;2nd arch mesenchyme
UBERON_0010254;2nd arch mesenchyme from neural crest
UBERON_0010343;2nd arch mesenchyme from head mesenchyme
UBERON_0003114;pharyngeal arch 3
UBERON_0003120;pharyngeal arch artery 3
UBERON_0005661;3rd arch ectoderm
UBERON_0005665;3rd arch endoderm
UBERON_0005690;3rd arch mesenchyme
UBERON_0010255;3rd arch mesenchyme from neural crest
UBERON_0010344;3rd arch mesenchyme from head mesenchyme
UBERON_0003117;pharyngeal arch 6
UBERON_0003123;pharyngeal arch artery 6
UBERON_0010031;6th arch mesenchyme
UBERON_0010257;6th arch mesenchyme from neural crest
UBERON_0010347;6th arch mesenchyme from head mesenchyme
UBERON_0003116;pharyngeal arch 5
UBERON_0003122;pharyngeal arch artery 5
UBERON_0013502;5th arch mesenchyme
UBERON_0004362;pharyngeal arch 1
UBERON_0003118;pharyngeal arch artery 1
UBERON_0007237;1st arch mandibular component
UBERON_0009584;1st arch mandibular mesenchyme
UBERON_0010252;1st arch mandibular mesenchyme from neural crest
UBERON_0010339;1st arch mandibular mesenchyme from head mesenchyme
UBERON_0013156;1st arch mandibular endoderm
UBERON_0007238;1st arch maxillary component
UBERON_0010045;1st arch maxillary mesenchyme
UBERON_0010253;1st arch maxillary mesenchyme from neural crest
UBERON_0010338;1st arch maxillary mesenchyme from head mesenchyme
UBERON_0012313;1st arch maxillary ectoderm
UBERON_0009213;pharyngeal membrane of 1st arch
UBERON_0010042;1st arch mesenchyme
UBERON_0010259;1st arch mesenchyme from neural crest
UBERON_0010341;1st arch mesenchyme from head mesenchyme
UBERON_0008896;post-hyoid pharyngeal arch
UBERON_0004363;pharyngeal arch artery
UBERON_0009210;pharyngeal membrane
UBERON_0009494;pharyngeal arch mesenchymal region
UBERON_0003062;primitive knot
UBERON_0003688;omentum
UBERON_0005448;greater omentum
UBERON_0035201;gastrocolic ligament
UBERON_0035498;gastrophrenic ligament
UBERON_0004686;gastro-splenic ligament
UBERON_0004687;lieno-renal ligament
UBERON_0005670;greater omentum mesothelium
UBERON_0010414;omental fat pad
UBERON_0004914;duodenal papilla
UBERON_0012271;major duodenal papilla
UBERON_0012272;minor duodenal papilla
UBERON_0004913;hepatopancreatic ampulla
UBERON_0005050;liver papillary process
UBERON_0007136;rectouterine fold
UBERON_0009882;anal column
UBERON_0011140;superficial part of masseter muscle
UBERON_0011305;superficial part of temporalis
UBERON_0011306;deep part of temporalis
UBERON_0011313;posterior subdivision of masseter
UBERON_0011314;anterior subdivision of masseter
UBERON_0012295;Guérin's valve
UBERON_0012296;urethral crest
UBERON_0012297;male urethral crest
UBERON_0012298;female urethral crest
UBERON_0003023;pontine tegmentum
UBERON_0019293;white matter of pontine tegmentum
UBERON_0002790;dorsal acoustic stria
UBERON_0003046;ventral acoustic stria
UBERON_0002932;trapezoid body
UBERON_0002952;intermediate acoustic stria
UBERON_0022271;corticopontine fibers
UBERON_0002047;pontine raphe nucleus
UBERON_0002128;superior olivary complex
UBERON_0022434;primary superior olive
UBERON_0002779;lateral superior olivary nucleus
UBERON_0002782;medial superior olivary nucleus
UBERON_0002833;medial nucleus of trapezoid body
UBERON_0007247;nucleus of superior olivary complex
UBERON_0002971;periolivary nucleus
UBERON_0016637;lateral periolivary nucleus
UBERON_0022437;dorsal periolivary nucleus
UBERON_0002832;ventral nucleus of trapezoid body
UBERON_0035930;retro-olivary nucleus
UBERON_0002976;preolivary nucleus
UBERON_0007633;nucleus of trapezoid body
UBERON_0002148;locus ceruleus
UBERON_0002149;superior salivatory nucleus
UBERON_0002549;ventral trigeminal tract
UBERON_0002552;vestibulocerebellar tract
UBERON_0002573;pontine reticular formation
UBERON_0002968;central gray substance of pons
UBERON_0007413;nucleus of pontine reticular formation
UBERON_0002963;caudal pontine reticular nucleus
UBERON_0002993;inferior central nucleus
UBERON_0002999;oral pontine reticular nucleus
UBERON_0002597;principal sensory nucleus of trigeminal nerve
UBERON_0002604;ventral nucleus of lateral lemniscus
UBERON_0002633;motor nucleus of trigeminal nerve
UBERON_0002731;vestibulocochlear nerve root
UBERON_0002775;olivocochlear bundle
UBERON_0002783;central tegmental tract of pons
UBERON_0002787;decussation of trochlear nerve
UBERON_0002797;dorsal trigeminal tract
UBERON_0002798;spinothalamic tract of pons
UBERON_0002800;spinal trigeminal tract of pons
UBERON_0002918;medial parabrachial nucleus
UBERON_0002930;tectopontine tract
UBERON_0002958;medial lemniscus of pons
UBERON_0003007;lateral parabrachial nucleus
UBERON_0003044;uncinate fasciculus
UBERON_0007709;superior cerebellar peduncle of pons
UBERON_0014915;genu of facial nerve
UBERON_0001896;medulla oblongata
UBERON_0019310;glossopharyngeal nerve root
UBERON_0023378;medullary anterior horn
UBERON_0000128;olivary body
UBERON_0002127;inferior olivary complex
UBERON_0007244;inferior olivary nucleus
UBERON_0002158;principal inferior olivary nucleus
UBERON_0002159;medial accessory inferior olivary nucleus
UBERON_0007249;dorsal accessory inferior olivary nucleus
UBERON_0008333;hilum of inferior olivary complex
UBERON_0001699;sensory root of facial nerve
UBERON_0002126;solitary tract nuclear complex
UBERON_0009050;nucleus of solitary tract
UBERON_0019312;ventrolateral nucleus of solitary tract
UBERON_0035575;paracommissural nucleus of solitary tract
UBERON_0009051;gelatinous nucleus of solitary tract
UBERON_0009052;medial nucleus of solitary tract
UBERON_0002162;area postrema
UBERON_0002164;tectobulbar tract
UBERON_0002559;medullary reticular formation
UBERON_0035940;central medullary reticular nuclear complex
UBERON_0009775;lateral medullary reticular complex
UBERON_0009776;intermediate reticular formation
UBERON_0016826;paramedian medullary reticular complex
UBERON_0002589;lateral corticospinal tract
UBERON_0002610;cochlear nuclear complex
UBERON_0001720;cochlear nucleus
UBERON_0002828;ventral cochlear nucleus
UBERON_0002830;anteroventral cochlear nucleus
UBERON_0002831;posteroventral cochlear nucleus
UBERON_0002829;dorsal cochlear nucleus
UBERON_0002642;cuneate fasciculus of medulla
UBERON_0002643;decussation of medial lemniscus
UBERON_0002646;dorsal longitudinal fasciculus of medulla
UBERON_0002649;dorsolateral fasciculus of medulla
UBERON_0002653;gracile fasciculus of medulla
UBERON_0002673;vestibular nuclear complex
UBERON_0007228;vestibular nucleus
UBERON_0001721;inferior vestibular nucleus
UBERON_0001722;medial vestibular nucleus
UBERON_0007230;lateral vestibular nucleus
UBERON_0007227;superior vestibular nucleus
UBERON_0002692;medullary raphe nuclear complex
UBERON_0002156;nucleus raphe magnus
UBERON_0002157;nucleus raphe pallidus
UBERON_0002684;nucleus raphe obscurus
UBERON_0002715;spinal trigeminal tract of medulla
UBERON_0002748;medial lemniscus of medulla
UBERON_0002750;medial longitudinal fasciculus of medulla
UBERON_0002786;root of abducens nerve
UBERON_0002867;central gray substance of medulla
UBERON_0002944;spinothalamic tract of medulla
UBERON_0002987;anterior spinocerebellar tract
UBERON_0003303;roof plate of medulla oblongata
UBERON_0003311;floor plate of medulla oblongata
UBERON_0003989;medulla oblongata anterior median fissure
UBERON_0004675;hypoglossal nerve root
UBERON_0005159;pyramid of medulla oblongata
UBERON_0006089;dorsal external arcuate fiber bundle
UBERON_0006090;glossopharyngeal nerve fiber bundle
UBERON_0006097;ventral external arcuate fiber bundle
UBERON_0006116;vagal nerve fiber bundle
UBERON_0006117;accessory nerve fiber bundle
UBERON_0007635;nucleus of medulla oblongata
UBERON_0020358;accessory XI nerve nucleus
UBERON_0002871;hypoglossal nucleus
UBERON_0001717;spinal nucleus of trigeminal nerve
UBERON_0002591;oral part of spinal trigeminal nucleus
UBERON_0002866;caudal part of spinal trigeminal nucleus
UBERON_0002873;interpolar part of spinal trigeminal nucleus
UBERON_0001719;nucleus ambiguus
UBERON_0018238;dorsal column nucleus
UBERON_0002045;cuneate nucleus
UBERON_0002161;gracile nucleus
UBERON_0002160;nucleus prepositus
UBERON_0002864;accessory cuneate nucleus
UBERON_0002865;arcuate nucleus of medulla
UBERON_0002868;commissural nucleus of vagus nerve
UBERON_0002870;dorsal motor nucleus of vagus nerve
UBERON_0002872;inferior salivatory nucleus
UBERON_0002874;lateral pericuneate nucleus
UBERON_0002875;medial pericuneate nucleus
UBERON_0002876;nucleus intercalatus
UBERON_0002877;parasolitary nucleus
UBERON_0002879;peritrigeminal nucleus
UBERON_0002880;pontobulbar nucleus
UBERON_0002881;sublingual nucleus
UBERON_0002882;supraspinal nucleus
UBERON_0007764;paramedian reticular nucleus
UBERON_0016832;paratrigeminal nucleus
UBERON_0016848;retroambiguus nucleus
UBERON_0008335;ventrolateral sulcus of medulla oblongata
UBERON_0009576;medulla oblongata sulcus limitans
UBERON_0013166;vallecula of cerebellum
UBERON_0014649;white matter of medulla oblongata
UBERON_0002163;inferior cerebellar peduncle
UBERON_0002640;cuneocerebellar tract
UBERON_0002714;rubrospinal tract
UBERON_0002718;solitary tract
UBERON_0002719;spino-olivary tract
UBERON_0002752;olivocerebellar tract
UBERON_0002754;predorsal bundle
UBERON_0002755;pyramidal decussation
UBERON_0006087;internal arcuate fiber bundle
UBERON_0001869;cerebral hemisphere
UBERON_0000200;gyrus
UBERON_0002665;supracallosal gyrus
UBERON_0002603;paraterminal gyrus
UBERON_0019283;lateral longitudinal stria
UBERON_0022234;medial longitudinal stria
UBERON_0015793;induseum griseum
UBERON_0007193;orbital gyrus
UBERON_0022244;anterior orbital gyrus
UBERON_0002575;posterior orbital gyrus
UBERON_0002564;lateral orbital gyrus
