UBERON_0000483;epithelium
CL_1000426;chromaffin cell of adrenal gland
CL_0000336;adrenal medulla chromaffin cell
CL_0002082;type II cell of adrenal medulla
CL_0002083;type I cell of adrenal medulla
CL_1000427;adrenal cortex chromaffin cell
CL_1001586;mammary gland glandular cell
CL_0002325;mammary alveolar cell
CL_1001590;epididymis glandular cell
CL_1001591;oviduct glandular cell
CL_0002656;glandular cell of endometrium
CL_1001587;uterine cervix glandular cell
CL_1001592;gall bladder glandular cell
CL_1001597;seminal vesicle glandular cell
CL_1001598;small intestine glandular cell
CL_1001589;duodenum glandular cell
CL_1001599;pancreas exocrine glandular cell
CL_1001601;adrenal gland glandular cell
CL_0002097;cortical cell of adrenal gland
CL_0002099;type I cell of adrenal cortex
CL_0002136;type II cell of adrenal cortex
CL_0002137;type III cell of adrenal cortex
UBERON_0000490;unilaminar epithelium
UBERON_0003258;endoderm of foregut
UBERON_0007690;early pharyngeal endoderm
UBERON_0010023;dorsal part of pharyngeal pouch 2
UBERON_0004117;pharyngeal pouch
UBERON_0007123;pharyngeal pouch 2
UBERON_0007122;pharyngeal pouch 1
UBERON_0007124;pharyngeal pouch 3
UBERON_0010025;dorsal part of pharyngeal pouch 3
UBERON_0007125;pharyngeal pouch 4
UBERON_0013156;1st arch mandibular endoderm
UBERON_0008947;respiratory primordium
UBERON_0005597;lung primordium
UBERON_0036072;respiratory primordium epithelium
UBERON_0036073;respiratory primordium mesenchyme
UBERON_0012172;stomach primordium
UBERON_0022361;lung field
UBERON_0000076;external ectoderm
UBERON_0005216;optic eminence surface ectoderm
UBERON_0003050;olfactory placode
UBERON_2001431;primitive olfactory epithelium
UBERON_0003371;pelvic appendage bud ectoderm
UBERON_0003372;pectoral appendage bud ectoderm
UBERON_0005311;mammary placode
UBERON_0006266;nasolacrimal groove
UBERON_0009206;lateral nasal process surface ectoderm
UBERON_0012313;1st arch maxillary ectoderm
UBERON_0016545;pharyngeal ectoderm
UBERON_0005879;pharyngeal cleft
UBERON_0005872;1st arch pharyngeal cleft
UBERON_0005873;2nd arch pharyngeal cleft
UBERON_0005874;3rd arch pharyngeal cleft
UBERON_0005875;4th arch pharyngeal cleft
UBERON_0004345;trophectoderm
UBERON_0011272;embryonic skin basal layer
UBERON_0003254;amniotic ectoderm
UBERON_0000485;simple columnar epithelium
UBERON_0000428;prostate epithelium
UBERON_0004179;prostate glandular acinus
CL_0002233;epithelial cell of prostatic acinus
CL_0002234;basal cell of prostatic acinus
CL_0002235;luminal cell of prostatic acinus
UBERON_0011951;prostate luminal epithelium
UBERON_0001277;intestinal epithelium
UBERON_0001278;epithelium of large intestine
UBERON_0000397;colonic epithelium
UBERON_0005636;caecum epithelium
UBERON_0009697;epithelium of appendix
CL_1000359;microfold cell of epithelium proper of appendix
UBERON_0013695;colon endothelium
CL_1001572;colon endothelial cell
CL_0011108;colon epithelial cell
CL_1000347;vacuolar absorptive cell of epithelium of colon
CL_1000405;epithelial cell of appendix
UBERON_0003354;epithelium of rectum
UBERON_0015716;anal canal epithelium
UBERON_0022281;epithelium of crypt of Lieberkuhn of large intestine
CL_0002071;enterocyte of epithelium of large intestine
CL_1000346;vacuolar absorptive cell of epithelium proper of large intestine
UBERON_0001902;epithelium of small intestine
UBERON_0022280;epithelium of crypt of Lieberkuhn of small intestine
UBERON_0013636;epithelium of intestinal villus
UBERON_0000400;jejunal epithelium
UBERON_0008345;ileal epithelium
UBERON_0008346;duodenal epithelium
CL_1000356;microfold cell of epithelium proper of duodenum
CL_1000335;enterocyte of epithelium of intestinal villus
CL_1000354;microfold cell of epithelium of intestinal villus
CL_1000334;enterocyte of epithelium of small intestine
CL_1000338;enterocyte of epithelium of crypt of Lieberkuhn of small intestine
CL_1000339;enterocyte of epithelium proper of small intestine
CL_1000340;enterocyte of epithelium proper of duodenum
CL_1000341;enterocyte of epithelium proper of jejunum
CL_1000342;enterocyte of epithelium proper of ileum
CL_1000353;microfold cell of epithelium of small intestine
CL_1000355;microfold cell of epithelium proper of small intestine
CL_1000357;microfold cell of epithelium proper of jejunum
CL_1000358;microfold cell of epithelium proper of ileum
UBERON_0004693;Peyer's patch epithelium
UBERON_0011184;epithelium of crypt of Lieberkuhn
CL_0002563;intestinal epithelial cell
CL_0000584;enterocyte
CL_1000337;enterocyte of epithelium of duodenal gland
CL_0002253;epithelial cell of large intestine
CL_0002203;Brush cell of epithelium proper of large intestine
CL_0002634;epithelial cell of anal column
CL_0002635;nonkeratinized epithelial cell of anal column
CL_0002636;nonkeratinized epithelial cell of inferior part of anal canal
CL_0002637;keratinized epithelial cell of the anal canal
CL_1000438;epithelial cell of wall of inferior part of anal canal
CL_1000360;microfold cell of epithelium proper of large intestine
CL_0002250;intestinal crypt stem cell
CL_0002254;epithelial cell of small intestine
CL_1000411;endothelial cell of Peyer's patch
UBERON_0001213;intestinal villus
UBERON_0008343;intestinal villus of jejunum
UBERON_0013483;crypt of Lieberkuhn of jejunum
UBERON_0008342;intestinal villus of duodenum
UBERON_0013482;crypt of Lieberkuhn of duodenum
UBERON_0015834;duodenum lamina propria
UBERON_0008344;intestinal villus of ileum
UBERON_0013481;crypt of Lieberkuhn of ileum
UBERON_0018410;lacteal
UBERON_0001276;epithelium of stomach
UBERON_0005477;stomach fundus epithelium
UBERON_0005637;pyloric region epithelium
UBERON_0006921;stomach squamous epithelium
UBERON_0002029;epithelium of gall bladder
UBERON_0004341;primitive streak
UBERON_0003062;primitive knot
UBERON_0004055;primitive pit
UBERON_0004056;primitive groove
UBERON_0003894;liver primordium
UBERON_0004544;epididymis epithelium
UBERON_0007592;ciliated columnar epithelium
UBERON_0007589;ciliated columnar oviduct epithelium
UBERON_0010499;pseudostratified ciliated columnar epithelium
UBERON_0004802;respiratory tract epithelium
UBERON_0004814;upper respiratory tract epithelium
UBERON_0001951;epithelium of nasopharynx
UBERON_0005384;nasal cavity epithelium
UBERON_0001997;olfactory epithelium
CL_0002169;basal cell of olfactory epithelium
CL_0000853;olfactory epithelial support cell
CL_0002171;globose cell of olfactory epithelium
CL_0002184;basal proper cell of olfactory epithelium
UBERON_0005385;nasal cavity respiratory epithelium
UBERON_0009671;nasal fin
UBERON_0009672;oronasal membrane
UBERON_0004815;lower respiratory tract epithelium
UBERON_0000115;lung epithelium
UBERON_0004821;pulmonary alveolus epithelium
CL_0000322;pneumocyte
CL_0002062;type I pneumocyte
CL_0002063;type II pneumocyte
UBERON_0002051;epithelium of bronchiole
UBERON_0001955;epithelium of respiratory bronchiole
CL_1000351;basal cell of epithelium of respiratory bronchiole
CL_0002638;bronchioalveolar stem cell
UBERON_0001958;terminal bronchiole epithelium
CL_0002206;brush cell of terminal bronchiole
CL_1000332;serous cell of epithelium of terminal bronchiole
CL_1000350;basal cell of epithelium of terminal bronchiole
CL_0002205;brush cell of lobular bronchiole
CL_1000333;serous cell of epithelium of lobular bronchiole
CL_1000352;basal cell of epithelium of lobular bronchiole
UBERON_0002169;alveolar sac
UBERON_0002299;alveolus of lung
UBERON_0004861;right lung alveolus
UBERON_0004862;left lung alveolus
CL_0010003;epithelial cell of alveolus of lung
UBERON_0002172;alveolar atrium
UBERON_0004894;alveolar wall
UBERON_0004895;alveolar smooth muscle
UBERON_0008870;pulmonary alveolar parenchyma
UBERON_0035963;epithelial lining fluid
UBERON_0002339;epithelium of lobar bronchus
UBERON_0015794;left lung lobar bronchus epithelium
UBERON_0015795;right lung lobar bronchus epitheium
UBERON_0002341;epithelium of segmental bronchus
UBERON_0003364;epithelium of right lung
UBERON_0005639;right lung cranial lobe epithelium
UBERON_0005674;right lung cranial lobe endothelium
UBERON_0005640;right lung caudal lobe epithelium
UBERON_0005675;right lung caudal lobe endothelium
UBERON_0005672;right lung endothelium
UBERON_0003365;epithelium of left lung
UBERON_0005673;left lung endothelium
UBERON_0013479;lung endothelium
CL_0000082;epithelial cell of lung
CL_1000493;mesothelial cell of visceral pleura
CL_1000223;lung neuroendocrine cell
CL_1001567;lung endothelial cell
UBERON_0001901;epithelium of trachea
UBERON_0003279;endothelium of trachea
CL_0002207;brush cell of trachea
CL_1000330;serous cell of epithelium of trachea
CL_1000348;basal cell of epithelium of trachea
CL_1000377;dense-core granulated cell of epithelium of trachea
UBERON_0009653;trachea basement membrane
UBERON_0003493;trachea reticular lamina
UBERON_0002031;epithelium of bronchus
UBERON_0002340;epithelium of main bronchus
UBERON_0003280;endothelium of main bronchus
UBERON_0004818;terminal bronchus epithelium
CL_0002328;bronchial epithelial cell
CL_0000158;club cell
CL_0002208;brush cell of bronchus
CL_0002332;ciliated cell of the bronchus
CL_1000349;basal cell of epithelium of bronchus
CL_1000331;serous cell of epithelium of bronchus
UBERON_0009652;bronchus basement membrane
UBERON_0003492;bronchus reticular lamina
UBERON_0004816;larynx epithelium
UBERON_0010498;pseudostratified columnar epithelium
UBERON_0010501;pseudostratified smooth columnar epithelium
UBERON_0000484;simple cuboidal epithelium
UBERON_0001304;germinal epithelium of ovary
UBERON_0001803;epithelium of lens
UBERON_0005614;lens anterior epithelium
CL_0002224;lens epithelial cell
CL_0002223;anterior lens cell
UBERON_0012363;thyroid follicle epithelium
UBERON_0014388;kidney collecting duct epithelium
UBERON_0000487;simple squamous epithelium
UBERON_0001986;endothelium
UBERON_0000201;endothelial blood brain barrier
UBERON_0000437;arachnoid barrier layer
UBERON_0001985;corneal endothelium
UBERON_0003915;endothelial tube
UBERON_0001917;endothelium of artery
UBERON_0019189;carotid artery endothelium
UBERON_0004848;respiratory system arterial endothelium
UBERON_0005317;pulmonary artery endothelium
CL_1001568;pulmonary artery endothelial cell
UBERON_0007778;umbilical artery endothelium
UBERON_0019196;iliac artery endothelium
CL_1000413;endothelial cell of artery
CL_2000052;umbilical artery endothelial cell
CL_1001213;arcuate artery endothelial cell
UBERON_0004850;lymph node endothelium
UBERON_0004852;cardiovascular system endothelium
UBERON_0004638;blood vessel endothelium
UBERON_2005259;continuous capillary
UBERON_2005260;fenestrated capillary
UBERON_0003909;sinusoid
UBERON_0001281;hepatic sinusoid
UBERON_0009548;hepatic sinusoid of left of lobe of liver
UBERON_0011737;caudate lobe hepatic sinusoid
UBERON_0009549;hepatic sinusoid of right of lobe of liver
UBERON_0011738;quadrate lobe hepatic sinusoid
CL_1000398;endothelial cell of hepatic sinusoid
UBERON_0014400;hepatic sinusoidal space
UBERON_0003910;splenic sinusoid
CL_0002262;endothelial cell of sinusoid
CL_0002651;endothelial cell of venous sinus of spleen
CL_1000397;endothelial cell of venous sinus of red pulp of spleen
UBERON_0014399;sinusoidal space
UBERON_0001915;endothelium of capillary
UBERON_0003489;respiratory system capillary endothelium
UBERON_0004294;glomerular capillary endothelium
CL_1001005;glomerular capillary endothelial cell
UBERON_0012441;endothelium of peritubular capillary
CL_0002144;capillary endothelial cell
CL_2000062;placental villus capillary endothelial cell
UBERON_0001916;endothelium of arteriole
UBERON_0001918;endothelium of venule
UBERON_0001919;endothelium of vein
UBERON_0004698;vena cava endothelium
UBERON_0004849;respiratory system venous endothelium
UBERON_0007777;umbilical vein endothelium
UBERON_0004702;respiratory system blood vessel endothelium
UBERON_0004851;aorta endothelium
CL_0000071;blood vessel endothelial cell
CL_2000010;dermis blood vessel endothelial cell
CL_0002543;vein endothelial cell
CL_0002585;retinal blood vessel endothelial cell
CL_1000412;endothelial cell of arteriole
CL_1000892;kidney capillary endothelial cell
CL_0010006;cardiac blood vessel endothelial cell
UBERON_0002042;lymphatic vessel endothelium
UBERON_0003529;respiratory system lymphatic vessel endothelium
UBERON_0004189;glomerular endothelium
UBERON_0005136;metanephric glomerular endothelium
UBERON_0004700;arterial system endothelium
UBERON_0004701;venous system endothelium
UBERON_0008307;heart endothelium
UBERON_0005316;endocardial endothelium
UBERON_0004699;outflow tract endothelium
UBERON_0010294;scleral endothelium
UBERON_0013694;brain endothelium
CL_1001602;cerebral cortex endothelial cell
UBERON_0001136;mesothelium
UBERON_0003274;mesothelium of omental bursa
UBERON_0003388;mesothelium of pericardial cavity
UBERON_0007186;pericardial visceral mesothelium
UBERON_0007187;pericardial parietal mesothelium
UBERON_0007188;mesothelium of serous pericardium
UBERON_0015128;subepicardial layer of epicardium
UBERON_0015129;epicardial fat
UBERON_0003389;mesothelium of diaphragm
UBERON_0003390;mesothelium of pleural cavity
UBERON_0004813;seminiferous tubule epithelium
CL_0002625;seminiferous tubule epithelial cell
CL_0000216;Sertoli cell
CL_0002481;peritubular myoid cell
UBERON_0005669;peritoneal cavity mesothelium
UBERON_0005670;greater omentum mesothelium
UBERON_0005671;greater sac mesothelium
UBERON_0007140;parietal mesothelium
UBERON_0007141;visceral mesothelium
UBERON_0003055;periderm
UBERON_0002027;stratum corneum of epidermis
UBERON_0002284;hyponychium
CL_0002153;corneocyte
UBERON_0001081;endocardium of ventricle
UBERON_0009712;endocardium of right ventricle
UBERON_0009713;endocardium of left ventricle
UBERON_0005750;glomerular parietal epithelium
CL_1000452;parietal epithelial cell
UBERON_0009129;right atrium endocardium
UBERON_0011007;endocardium of right auricle
UBERON_0011592;future upper lip
UBERON_0011596;future lower lip
UBERON_0006267;notochordal plate
UBERON_0007383;enveloping layer of ectoderm
UBERON_0003071;eye primordium
UBERON_0003230;epithelium of carpal region
UBERON_0003248;epithelium of footplate
UBERON_0003259;endoderm of midgut
UBERON_0003260;endoderm of hindgut
UBERON_0003367;epithelium of vomeronasal organ
UBERON_0009497;epithelium of foregut-midgut junction
UBERON_0004912;biliary bud
UBERON_0006242;gall bladder primordium
UBERON_0008835;hepatic diverticulum
UBERON_0008836;liver bud
UBERON_0004008;cerebellar plate
UBERON_0005226;pedal digit epithelium
UBERON_0005649;pedal digit 2 epithelium
UBERON_0005650;pedal digit 3 epithelium
UBERON_0005651;pedal digit 4 epithelium
UBERON_0005652;pedal digit 5 epithelium
UBERON_0010693;pedal digit 1 epithelium
UBERON_0010332;epithelium of handplate
UBERON_0005227;manual digit epithelium
UBERON_0005645;manual digit 2 epithelium
UBERON_0005646;manual digit 3 epithelium
UBERON_0005647;manual digit 4 epithelium
UBERON_0005648;manual digit 5 epithelium
UBERON_0010690;manual digit 1 epithelium
UBERON_0011642;oral epithelium from ectoderm
UBERON_0012287;Rathkes pouch epithelium
UBERON_0012312;maxillary process ectoderm
UBERON_0009521;anal membrane endodermal component
UBERON_0009846;embryonic cloacal epithelium
UBERON_0004902;urogenital sinus epithelium
UBERON_0003820;prostate bud
UBERON_0009847;prostate field
UBERON_0009522;lateral lingual swelling epithelium
UBERON_0014702;frontonasal process epithelium
UBERON_0005233;medial-nasal process ectoderm
UBERON_0014703;anal membrane ectodermal component
UBERON_0014705;median lingual swelling epithelium
UBERON_0012424;brush border layer
UBERON_0012427;intestinal brush border layer
UBERON_0012428;proximal convoluted tubule brush border
UBERON_0003914;epithelial tube
UBERON_0001765;mammary duct
UBERON_0022360;male mammary gland duct
UBERON_0011844;duct of areolar gland
UBERON_0015132;extralobar lactiferous duct
UBERON_0015133;terminal lactiferous duct
UBERON_0015134;main lactiferous duct
UBERON_0015135;primary lactiferous duct
UBERON_0015136;secondary lactiferous duct
UBERON_0015137;tertiary lactiferous duct
UBERON_0015138;quarternary lactiferous duct
CL_1000419;myoepithelial cell of lactiferous duct
UBERON_0004182;mammary gland cord
UBERON_0007499;epithelial sac
UBERON_0034953;embryonic lymph sac
UBERON_0036260;embryonic cisterna chyli
UBERON_0011765;jugular lymph sac
UBERON_0000084;ureteric bud
UBERON_0005081;ureter ureteric bud
UBERON_0005080;metanephric ureteric bud
UBERON_0001040;yolk sac
UBERON_0008852;visceral yolk sac
UBERON_0009743;visceral yolk sac cavity
UBERON_0035676;secondary yolk sac cavity
UBERON_0008853;parietal yolk sac
UBERON_0035677;primary yolk sac cavity
CL_0002354;yolk sac hematopoietic stem cell
UBERON_0003257;yolk sac endoderm
UBERON_0003316;mesenchyme of yolk sac
UBERON_0011919;yolk sac blood island
UBERON_0005251;yolk sac cavity
UBERON_0008969;dental follicle
UBERON_0003051;ear vesicle
UBERON_0013526;otocyst lumen
UBERON_0002223;endolymphatic sac
UBERON_0003246;epithelium of endolymphatic sac
UBERON_0010020;tubotympanic recess epithelium
UBERON_0005625;tubotympanic recess lumen
UBERON_0006250;infundibular recess of 3rd ventricle
UBERON_0003922;pancreatic epithelial bud
UBERON_0003923;dorsal pancreatic bud
UBERON_0003924;ventral pancreatic bud
UBERON_0010063;tympanic cavity epithelium
UBERON_0005042;inner epithelial layer of tympanic membrane
UBERON_0005356;Rathke's pouch
UBERON_0009974;lumen of Rathke's pouch
UBERON_0007501;arborizing epithelial duct system
UBERON_0014706;primitive renal collecting duct system
UBERON_0007473;lumen of epithelial sac
UBERON_0034969;epithelial layer of duct
UBERON_0034770;bulbourethral gland epithelium
UBERON_0004805;seminal vesicle epithelium
UBERON_0004806;vas deferens epithelium
UBERON_0006948;efferent duct epithelium
UBERON_0006953;ejaculatory duct epithelium
UBERON_0009970;epithelium of pancreatic duct
UBERON_0015766;epithelium of duct of salivary gland
UBERON_0000083;mesonephric tubule
UBERON_0003074;mesonephric duct
UBERON_0011574;mesonephric duct lumen
UBERON_0010534;primitive mesonephric nephron
UBERON_0006190;mesonephric distal tubule
UBERON_0006192;mesonephric proximal tubule
UBERON_0004141;heart tube
UBERON_0006283;future cardiac ventricle
UBERON_0007278;presumptive sinus venosus
UBERON_0007279;presumptive atrioventricular canal
UBERON_0010227;future cardiac atrium
UBERON_0001049;neural tube
UBERON_0003054;roof plate
UBERON_0005502;rhombomere roof plate
UBERON_0005568;rhombomere 1 roof plate
UBERON_0005572;rhombomere 2 roof plate
UBERON_0005575;rhombomere 3 roof plate
UBERON_0005578;rhombomere 4 roof plate
UBERON_0005581;rhombomere 5 roof plate
UBERON_0005584;rhombomere 6 roof plate
UBERON_0005587;rhombomere 7 roof plate
UBERON_0003299;roof plate of midbrain
UBERON_0003300;roof plate of telencephalon
UBERON_0003301;roof plate of diencephalon
UBERON_0003302;roof plate of metencephalon
UBERON_0003303;roof plate of medulla oblongata
UBERON_0005724;roof plate spinal cord region
UBERON_0003076;posterior neural tube
UBERON_0003079;floor plate
UBERON_0003306;floor plate of neural tube
UBERON_0003307;floor plate of midbrain
UBERON_0003308;floor plate of telencephalon
UBERON_0003309;floor plate of diencephalon
UBERON_0003310;floor plate of metencephalon
UBERON_0003311;floor plate of medulla oblongata
UBERON_0005723;floor plate spinal cord region
UBERON_0003080;anterior neural tube
UBERON_0010286;midbrain neural tube
UBERON_0003842;neural tube lumen
UBERON_0004062;neural tube marginal layer
UBERON_0034709;hindbrain marginal layer
UBERON_0034708;cerebellum marginal layer
UBERON_0004731;neuromere
UBERON_0001892;rhombomere
UBERON_0005499;rhombomere 1
UBERON_0005567;rhombomere 1 lateral wall
UBERON_0005507;rhombomere 3
UBERON_0005574;rhombomere 3 lateral wall
UBERON_0005511;rhombomere 4
UBERON_0005577;rhombomere 4 lateral wall
UBERON_0005515;rhombomere 5
UBERON_0005580;rhombomere 5 lateral wall
UBERON_0005519;rhombomere 6
UBERON_0005583;rhombomere 6 lateral wall
UBERON_0005523;rhombomere 7
UBERON_0005586;rhombomere 7 lateral wall
UBERON_0005569;rhombomere 2
UBERON_0005571;rhombomere 2 lateral wall
UBERON_0005501;rhombomere lateral wall
UBERON_0014775;prosomere
UBERON_0014776;midbrain neuromere
UBERON_0014777;spinal neuromere
UBERON_0005077;neuropore
UBERON_0005070;anterior neuropore
UBERON_0005071;posterior neuropore
UBERON_0005496;neural tube lateral wall
UBERON_0005478;sulcus limitans of neural tube
UBERON_0009570;spinal cord sulcus limitans
UBERON_0009578;myelencephalon sulcus limitans
UBERON_0009576;medulla oblongata sulcus limitans
UBERON_0009577;metencephalon sulcus limitans
UBERON_0009773;renal tubule
UBERON_0001231;nephron tubule
UBERON_0007685;region of nephron tubule
UBERON_0001288;loop of Henle
UBERON_0034997;renal medulla loop of Henle
UBERON_0034996;outer renal medulla loop of Henle
UBERON_0006542;outer medulla outer stripe loop of Henle
UBERON_0001290;proximal straight tubule
UBERON_0005125;metanephric proximal straight tubule
UBERON_0009622;pronephric proximal straight tubule
CL_1000839;kidney proximal straight tubule epithelial cell
UBERON_0006541;outer medulla inner stripe loop of Henle
UBERON_0003455;inner renal medulla loop of Henle
UBERON_0004193;loop of Henle ascending limb thin segment
UBERON_0005114;metanephric ascending thin limb
UBERON_0005130;metanephric loop of Henle
UBERON_0005116;metanephric descending thin limb
CL_1000909;kidney loop of Henle epithelial cell
CL_1000453;epithelial cell of intermediate tubule
CL_1001111;kidney loop of Henle thin descending limb epithelial cell
CL_1001021;kidney loop of Henle descending limb epithelial cell
UBERON_0001289;descending limb of loop of Henle
UBERON_0004136;intermediate tubule
UBERON_0005096;descending thin limb
UBERON_0005164;ascending limb of loop of Henle
UBERON_0001291;thick ascending limb of loop of Henle
UBERON_0005127;metanephric thick ascending limb
UBERON_0005202;distal straight tubule macula densa
UBERON_0006534;renal convoluted tubule
UBERON_0001287;proximal convoluted tubule
UBERON_0005124;metanephric proximal convoluted tubule
UBERON_0007298;pronephric proximal convoluted tubule
CL_1000838;kidney proximal convoluted tubule epithelial cell
UBERON_0001292;distal convoluted tubule
UBERON_0005117;metanephric distal convoluted tubule
CL_1000849;kidney distal convoluted tubule epithelial cell
UBERON_0003546;distal convoluted tubule macula densa
UBERON_0009035;renal straight tubule
UBERON_0004135;distal tubule
UBERON_0005129;metanephric distal tubule
UBERON_0006175;pronephric distal tubule
CL_0002305;epithelial cell of distal tubule
CL_1000850;macula densa epithelial cell
UBERON_0002335;macula densa
UBERON_0005122;metanephric macula densa
UBERON_0005324;mesonephric macula densa
UBERON_0008408;distal tubular epithelium
UBERON_0006853;renal cortex tubule
UBERON_0004134;proximal tubule
UBERON_0005151;metanephric proximal tubule
UBERON_0006173;pronephric proximal tubule
CL_0002306;epithelial cell of proximal tubule
UBERON_0008404;proximal tubular epithelium
CL_1000615;kidney cortex tubule cell
UBERON_0005146;metanephric nephron tubule
CL_1000123;metanephric nephron tubule epithelial cell
UBERON_0005310;pronephric nephron tubule
CL_1000090;pronephric nephron tubule epithelial cell
CL_1000507;kidney tubule cell
CL_1000494;nephron tubule epithelial cell
UBERON_0004810;nephron tubule epithelium
UBERON_0009651;nephron tubule basement membrane
UBERON_0007684;uriniferous tubule
UBERON_0001285;nephron
UBERON_0004194;long nephron
UBERON_0005132;metanephric long nephron
UBERON_0004195;short nephron
