IDENTIFIER,CONCEPT_CODE,SHORT_URI,DEFINITION,DESCRIPTORS,PARENTS,PARENT_IDENTIFIER,value,PUBLIC_ID
"getNextPvId(),"","UBERON_0011272","","","","","embryonic skin basal layer","organ"
"getNextPvId(),"","UBERON_0003254","","","","","amniotic ectoderm","organ"
"getNextPvId(),"","UBERON_0000485","","","","","simple columnar epithelium","organ"
"getNextPvId(),"","UBERON_0000428","","","","","prostate epithelium","organ"
"getNextPvId(),"","UBERON_0004179","","","","","prostate glandular acinus","organ"
"getNextPvId(),"","UBERON_0011951","","","","","prostate luminal epithelium","organ"
"getNextPvId(),"","UBERON_0001277","","","","","intestinal epithelium","organ"
"getNextPvId(),"","UBERON_0001278","","","","","epithelium of large intestine","organ"
"getNextPvId(),"","UBERON_0000397","","","UBERON_0001155","","colonic epithelium","organ"
"getNextPvId(),"","UBERON_0005636","","","UBERON_0001155","","caecum epithelium","organ"
"getNextPvId(),"","UBERON_0013695","","","UBERON_0001155","","colon endothelium","organ"
"getNextPvId(),"","UBERON_0003354","","","","","epithelium of rectum","organ"
"getNextPvId(),"","UBERON_0015716","","","","","anal canal epithelium","organ"
"getNextPvId(),"","UBERON_0022281","","","","","epithelium of crypt of Lieberkuhn of large intestine","organ"
"getNextPvId(),"","UBERON_0001902","","","","","epithelium of small intestine","organ"
"getNextPvId(),"","UBERON_0022280","","","","","epithelium of crypt of Lieberkuhn of small intestine","organ"
"getNextPvId(),"","UBERON_0013636","","","","","epithelium of intestinal villus","organ"
"getNextPvId(),"","UBERON_0000400","","","","","jejunal epithelium","organ"
"getNextPvId(),"","UBERON_0008345","","","","","ileal epithelium","organ"
"getNextPvId(),"","UBERON_0008346","","","","","duodenal epithelium","organ"
"getNextPvId(),"","UBERON_0004693","","","","","Peyer's patch epithelium","organ"
"getNextPvId(),"","UBERON_0011184","","","","","epithelium of crypt of Lieberkuhn","organ"
"getNextPvId(),"","UBERON_0001213","","","","","intestinal villus","organ"
"getNextPvId(),"","UBERON_0008343","","","","","intestinal villus of jejunum","organ"
"getNextPvId(),"","UBERON_0008342","","","","","intestinal villus of duodenum","organ"
"getNextPvId(),"","UBERON_0013482","","","UBERON_0002108","","crypt of Lieberkuhn of duodenum","organ"
"getNextPvId(),"","UBERON_0015834","","","","","duodenum lamina propria","organ"
"getNextPvId(),"","UBERON_0008344","","","","","intestinal villus of ileum","organ"
"getNextPvId(),"","UBERON_0018410","","","","","lacteal","organ"
"getNextPvId(),"","UBERON_0001276","","","","","epithelium of stomach","organ"
"getNextPvId(),"","UBERON_0005477","","","","","stomach fundus epithelium","organ"
"getNextPvId(),"","UBERON_0005637","","","UBERON_0000945","","pyloric region epithelium","organ"
"getNextPvId(),"","UBERON_0006921","","","","","stomach squamous epithelium","organ"
"getNextPvId(),"","UBERON_0002029","","","UBERON_0002110","","epithelium of gall bladder","organ"
"getNextPvId(),"","UBERON_0004341","","","","","primitive streak","organ"
"getNextPvId(),"","UBERON_0003062","","","","","primitive knot","organ"
"getNextPvId(),"","UBERON_0004055","","","","","primitive pit","organ"
"getNextPvId(),"","UBERON_0004056","","","","","primitive groove","organ"
"getNextPvId(),"","UBERON_0003894","","","UBERON_0002107","","liver primordium","organ"
"getNextPvId(),"","UBERON_0004544","","","","","epididymis epithelium","organ"
"getNextPvId(),"","UBERON_0007592","","","","","ciliated columnar epithelium","organ"
"getNextPvId(),"","UBERON_0007589","","","","","ciliated columnar oviduct epithelium","organ"
"getNextPvId(),"","UBERON_0010499","","","","","pseudostratified ciliated columnar epithelium","organ"
"getNextPvId(),"","UBERON_0004802","","","","","respiratory tract epithelium","organ"
"getNextPvId(),"","UBERON_0004814","","","UBERON_0000065","","upper respiratory tract epithelium","organ"
"getNextPvId(),"","UBERON_0001951","","","UBERON_0000065","","epithelium of nasopharynx","organ"
"getNextPvId(),"","UBERON_0005384","","","UBERON_0000065","","nasal cavity epithelium","organ"
"getNextPvId(),"","UBERON_0001997","","","UBERON_0000065","","olfactory epithelium","organ"
"getNextPvId(),"","UBERON_0005385","","","UBERON_0000065","","nasal cavity respiratory epithelium","organ"
"getNextPvId(),"","UBERON_0009671","","","UBERON_0000065","","nasal fin","organ"
"getNextPvId(),"","UBERON_0009672","","","","","oronasal membrane","organ"
"getNextPvId(),"","UBERON_0004815","","","UBERON_0000065","","lower respiratory tract epithelium","organ"
"getNextPvId(),"","UBERON_0000115","","","UBERON_0002048 UBERON_0000065","","lung epithelium","organ"
"getNextPvId(),"","UBERON_0004821","","","UBERON_0002048 UBERON_0000065","","pulmonary alveolus epithelium","organ"
"getNextPvId(),"","UBERON_0002051","","","UBERON_0002048 UBERON_0000065","","epithelium of bronchiole","organ"
"getNextPvId(),"","UBERON_0001955","","","UBERON_0002048 UBERON_0000065","","epithelium of respiratory bronchiole","organ"
"getNextPvId(),"","UBERON_0001958","","","UBERON_0002048 UBERON_0000065","","terminal bronchiole epithelium","organ"
"getNextPvId(),"","UBERON_0002169","","","UBERON_0002048 UBERON_0000065","","alveolar sac","organ"
"getNextPvId(),"","UBERON_0002299","","","","","alveolus of lung","organ"
"getNextPvId(),"","UBERON_0035963","","","","","epithelial lining fluid","organ"
"getNextPvId(),"","UBERON_0002172","","","","","alveolar atrium","organ"
"getNextPvId(),"","UBERON_0004894","","","","","alveolar wall","organ"
"getNextPvId(),"","UBERON_0004895","","","UBERON_0000065","","alveolar smooth muscle","organ"
"getNextPvId(),"","UBERON_0008870","","","","","pulmonary alveolar parenchyma","organ"
"getNextPvId(),"","UBERON_0002339","","","UBERON_0002048 UBERON_0000065","","epithelium of lobar bronchus","organ"
"getNextPvId(),"","UBERON_0002341","","","UBERON_0002048 UBERON_0000065","","epithelium of segmental bronchus","organ"
"getNextPvId(),"","UBERON_0013479","","","UBERON_0002048 UBERON_0000065","","lung endothelium","organ"
"getNextPvId(),"","UBERON_0001901","","","UBERON_0000065","","epithelium of trachea","organ"
"getNextPvId(),"","UBERON_0003279","","","UBERON_0000065","","endothelium of trachea","organ"
"getNextPvId(),"","UBERON_0009653","","","","","trachea basement membrane","organ"
"getNextPvId(),"","UBERON_0002031","","","UBERON_0000065","","epithelium of bronchus","organ"
"getNextPvId(),"","UBERON_0002340","","","UBERON_0000065","","epithelium of main bronchus","organ"
"getNextPvId(),"","UBERON_0004818","","","UBERON_0000065","","terminal bronchus epithelium","organ"
"getNextPvId(),"","UBERON_0009652","","","","","bronchus basement membrane","organ"
"getNextPvId(),"","UBERON_0004816","","","UBERON_0000065","","larynx epithelium","organ"
"getNextPvId(),"","UBERON_0010498","","","","","pseudostratified columnar epithelium","organ"
"getNextPvId(),"","UBERON_0000484","","","","","simple cuboidal epithelium","organ"
"getNextPvId(),"","UBERON_0001304","","","UBERON_0000991","","germinal epithelium of ovary","organ"
"getNextPvId(),"","UBERON_0001803","","","UBERON_0000970","","epithelium of lens","organ"
"getNextPvId(),"","UBERON_0012363","","","","","thyroid follicle epithelium","organ"
"getNextPvId(),"","UBERON_0014388","","","UBERON_0002113","","kidney collecting duct epithelium","organ"
"getNextPvId(),"","UBERON_0000487","","","","","simple squamous epithelium","organ"
"getNextPvId(),"","UBERON_0001986","","","","","endothelium","organ"
"getNextPvId(),"","UBERON_0000201","","","","","endothelial blood brain barrier","organ"
"getNextPvId(),"","UBERON_0001985","","","UBERON_0000970","","corneal endothelium","organ"
"getNextPvId(),"","UBERON_0003915","","","","","endothelial tube","organ"
"getNextPvId(),"","UBERON_0001917","","","","","endothelium of artery","organ"
"getNextPvId(),"","UBERON_0019189","","","","","carotid artery endothelium","organ"
"getNextPvId(),"","UBERON_0004848","","","","","respiratory system arterial endothelium","organ"
"getNextPvId(),"","UBERON_0005317","","","","","pulmonary artery endothelium","organ"
"getNextPvId(),"","UBERON_0007778","","","","","umbilical artery endothelium","organ"
"getNextPvId(),"","UBERON_0019196","","","","","iliac artery endothelium","organ"
"getNextPvId(),"","UBERON_0004850","","","UBERON_0005057","","lymph node endothelium","organ"
"getNextPvId(),"","UBERON_0004852","","","","","cardiovascular system endothelium","organ"
"getNextPvId(),"","UBERON_0004638","","","","","blood vessel endothelium","organ"
"getNextPvId(),"","UBERON_2005259","","","","","continuous capillary","organ"
"getNextPvId(),"","UBERON_2005260","","","","","fenestrated capillary","organ"
"getNextPvId(),"","UBERON_0003909","","","","","sinusoid","organ"
"getNextPvId(),"","UBERON_0001281","","","UBERON_0002107","","hepatic sinusoid","organ"
"getNextPvId(),"","UBERON_0003910","","","","","splenic sinusoid","organ"
"getNextPvId(),"","UBERON_0001915","","","","","endothelium of capillary","organ"
"getNextPvId(),"","UBERON_0003489","","","","","respiratory system capillary endothelium","organ"
"getNextPvId(),"","UBERON_0004294","","","UBERON_0002113","","glomerular capillary endothelium","organ"
"getNextPvId(),"","UBERON_0012441","","","UBERON_0002113","","endothelium of peritubular capillary","organ"
"getNextPvId(),"","UBERON_0001916","","","","","endothelium of arteriole","organ"
"getNextPvId(),"","UBERON_0001918","","","","","endothelium of venule","organ"
"getNextPvId(),"","UBERON_0001919","","","","","endothelium of vein","organ"
"getNextPvId(),"","UBERON_0004698","","","","","vena cava endothelium","organ"
"getNextPvId(),"","UBERON_0004849","","","","","respiratory system venous endothelium","organ"
"getNextPvId(),"","UBERON_0007777","","","","","umbilical vein endothelium","organ"
"getNextPvId(),"","UBERON_0004702","","","","","respiratory system blood vessel endothelium","organ"
"getNextPvId(),"","UBERON_0004851","","","","","aorta endothelium","organ"
"getNextPvId(),"","UBERON_0002042","","","","","lymphatic vessel endothelium","organ"
"getNextPvId(),"","UBERON_0004189","","","UBERON_0002113","","glomerular endothelium","organ"
"getNextPvId(),"","UBERON_0004700","","","","","arterial system endothelium","organ"
"getNextPvId(),"","UBERON_0004701","","","","","venous system endothelium","organ"
"getNextPvId(),"","UBERON_0008307","","","UBERON_0000948","","heart endothelium","organ"
"getNextPvId(),"","UBERON_0005316","","","UBERON_0000948","","endocardial endothelium","organ"
"getNextPvId(),"","UBERON_0004699","","","","","outflow tract endothelium","organ"
"getNextPvId(),"","UBERON_0010294","","","UBERON_0000970","","scleral endothelium","organ"
"getNextPvId(),"","UBERON_0013694","","","UBERON_0000955","","brain endothelium","organ"
"getNextPvId(),"","UBERON_0001136","","","","","mesothelium","organ"
"getNextPvId(),"","UBERON_0003274","","","","","mesothelium of omental bursa","organ"
"getNextPvId(),"","UBERON_0003388","","","","","mesothelium of pericardial cavity","organ"
"getNextPvId(),"","UBERON_0007186","","","","","pericardial visceral mesothelium","organ"
"getNextPvId(),"","UBERON_0007187","","","","","pericardial parietal mesothelium","organ"
"getNextPvId(),"","UBERON_0007188","","","","","mesothelium of serous pericardium","organ"
"getNextPvId(),"","UBERON_0003389","","","","","mesothelium of diaphragm","organ"
"getNextPvId(),"","UBERON_0003390","","","","","mesothelium of pleural cavity","organ"
"getNextPvId(),"","UBERON_0004813","","","UBERON_0000991","","seminiferous tubule epithelium","organ"
"getNextPvId(),"","UBERON_0005669","","","","","peritoneal cavity mesothelium","organ"
"getNextPvId(),"","UBERON_0005670","","","","","greater omentum mesothelium","organ"
"getNextPvId(),"","UBERON_0005671","","","","","greater sac mesothelium","organ"
"getNextPvId(),"","UBERON_0007140","","","","","parietal mesothelium","organ"
"getNextPvId(),"","UBERON_0007141","","","","","visceral mesothelium","organ"
"getNextPvId(),"","UBERON_0003055","","","","","periderm","organ"
"getNextPvId(),"","UBERON_0001081","","","UBERON_0000948","","endocardium of ventricle","organ"
"getNextPvId(),"","UBERON_0005750","","","UBERON_0002113","","glomerular parietal epithelium","organ"
"getNextPvId(),"","UBERON_0011592","","","","","future upper lip","organ"
"getNextPvId(),"","UBERON_0011596","","","","","future lower lip","organ"
"getNextPvId(),"","UBERON_0006267","","","","","notochordal plate","organ"
"getNextPvId(),"","UBERON_0007383","","","","","enveloping layer of ectoderm","organ"
"getNextPvId(),"","UBERON_0003071","","","UBERON_0000970","","eye primordium","organ"
"getNextPvId(),"","UBERON_0003230","","","","","epithelium of carpal region","organ"
"getNextPvId(),"","UBERON_0003248","","","","","epithelium of footplate","organ"
"getNextPvId(),"","UBERON_0003259","","","","","endoderm of midgut","organ"
"getNextPvId(),"","UBERON_0003260","","","","","endoderm of hindgut","organ"
"getNextPvId(),"","UBERON_0003367","","","","","epithelium of vomeronasal organ","organ"
"getNextPvId(),"","UBERON_0009497","","","","","epithelium of foregut-midgut junction","organ"
"getNextPvId(),"","UBERON_0004912","","","","","biliary bud","organ"
"getNextPvId(),"","UBERON_0008835","","","","","hepatic diverticulum","organ"
"getNextPvId(),"","UBERON_0008836","","","","","liver bud","organ"
"getNextPvId(),"","UBERON_0004008","","","","","cerebellar plate","organ"
"getNextPvId(),"","UBERON_0005226","","","","","pedal digit epithelium","organ"
"getNextPvId(),"","UBERON_0005649","","","","","pedal digit 2 epithelium","organ"
"getNextPvId(),"","UBERON_0005650","","","","","pedal digit 3 epithelium","organ"
"getNextPvId(),"","UBERON_0005651","","","","","pedal digit 4 epithelium","organ"
"getNextPvId(),"","UBERON_0005652","","","","","pedal digit 5 epithelium","organ"
"getNextPvId(),"","UBERON_0010693","","","","","pedal digit 1 epithelium","organ"
"getNextPvId(),"","UBERON_0010332","","","","","epithelium of handplate","organ"
"getNextPvId(),"","UBERON_0005227","","","","","manual digit epithelium","organ"
"getNextPvId(),"","UBERON_0005645","","","","","manual digit 2 epithelium","organ"
"getNextPvId(),"","UBERON_0005646","","","","","manual digit 3 epithelium","organ"
"getNextPvId(),"","UBERON_0005647","","","","","manual digit 4 epithelium","organ"
"getNextPvId(),"","UBERON_0005648","","","","","manual digit 5 epithelium","organ"
"getNextPvId(),"","UBERON_0010690","","","","","manual digit 1 epithelium","organ"
"getNextPvId(),"","UBERON_0011642","","","","","oral epithelium from ectoderm","organ"
"getNextPvId(),"","UBERON_0012312","","","","","maxillary process ectoderm","organ"
"getNextPvId(),"","UBERON_0009521","","","","","anal membrane endodermal component","organ"
"getNextPvId(),"","UBERON_0009846","","","","","embryonic cloacal epithelium","organ"
"getNextPvId(),"","UBERON_0004902","","","","","urogenital sinus epithelium","organ"
"getNextPvId(),"","UBERON_0003820","","","","","prostate bud","organ"
"getNextPvId(),"","UBERON_0009847","","","","","prostate field","organ"
"getNextPvId(),"","UBERON_0009522","","","","","lateral lingual swelling epithelium","organ"
"getNextPvId(),"","UBERON_0014702","","","","","frontonasal process epithelium","organ"
"getNextPvId(),"","UBERON_0014703","","","","","anal membrane ectodermal component","organ"
"getNextPvId(),"","UBERON_0014705","","","","","median lingual swelling epithelium","organ"
"getNextPvId(),"","UBERON_0012424","","","","","brush border layer","organ"
"getNextPvId(),"","UBERON_0012427","","","","","intestinal brush border layer","organ"
"getNextPvId(),"","UBERON_0012428","","","","","proximal convoluted tubule brush border","organ"
"getNextPvId(),"","UBERON_0003914","","","","","epithelial tube","organ"
"getNextPvId(),"","UBERON_0001765","","","","","mammary duct","organ"
"getNextPvId(),"","UBERON_0022360","","","","","male mammary gland duct","organ"
"getNextPvId(),"","UBERON_0011844","","","","","duct of areolar gland","organ"
"getNextPvId(),"","UBERON_0015132","","","","","extralobar lactiferous duct","organ"
"getNextPvId(),"","UBERON_0015133","","","","","terminal lactiferous duct","organ"
"getNextPvId(),"","UBERON_0015134","","","","","main lactiferous duct","organ"
"getNextPvId(),"","UBERON_0015135","","","","","primary lactiferous duct","organ"
"getNextPvId(),"","UBERON_0015136","","","","","secondary lactiferous duct","organ"
"getNextPvId(),"","UBERON_0015137","","","","","tertiary lactiferous duct","organ"
"getNextPvId(),"","UBERON_0015138","","","","","quarternary lactiferous duct","organ"
"getNextPvId(),"","UBERON_0004182","","","","","mammary gland cord","organ"
"getNextPvId(),"","UBERON_0007499","","","","","epithelial sac","organ"
"getNextPvId(),"","UBERON_0034953","","","","","embryonic lymph sac","organ"
"getNextPvId(),"","UBERON_0000084","","","UBERON_0002113","","ureteric bud","organ"
"getNextPvId(),"","UBERON_0005081","","","UBERON_0002113","","ureter ureteric bud","organ"
"getNextPvId(),"","UBERON_0005080","","","UBERON_0002113","","metanephric ureteric bud","organ"
"getNextPvId(),"","UBERON_0001040","","","","","yolk sac","organ"
"getNextPvId(),"","UBERON_0008852","","","","","visceral yolk sac","organ"
"getNextPvId(),"","UBERON_0008853","","","","","parietal yolk sac","organ"
"getNextPvId(),"","UBERON_0003257","","","","","yolk sac endoderm","organ"
"getNextPvId(),"","UBERON_0003316","","","","","mesenchyme of yolk sac","organ"
"getNextPvId(),"","UBERON_0005251","","","","","yolk sac cavity","organ"
"getNextPvId(),"","UBERON_0008969","","","","","dental follicle","organ"
"getNextPvId(),"","UBERON_0003051","","","","","ear vesicle","organ"
"getNextPvId(),"","UBERON_0002223","","","UBERON_0001690","","endolymphatic sac","organ"
"getNextPvId(),"","UBERON_0010020","","","UBERON_0001690","","tubotympanic recess epithelium","organ"
"getNextPvId(),"","UBERON_0006250","","","","","infundibular recess of 3rd ventricle","organ"
"getNextPvId(),"","UBERON_0003922","","","","","pancreatic epithelial bud","organ"
"getNextPvId(),"","UBERON_0003923","","","","","dorsal pancreatic bud","organ"
"getNextPvId(),"","UBERON_0003924","","","","","ventral pancreatic bud","organ"
"getNextPvId(),"","UBERON_0010063","","","UBERON_0001690","","tympanic cavity epithelium","organ"
"getNextPvId(),"","UBERON_0005356","","","","","Rathke's pouch","organ"
"getNextPvId(),"","UBERON_0007501","","","","","arborizing epithelial duct system","organ"
"getNextPvId(),"","UBERON_0007473","","","","","lumen of epithelial sac","organ"
"getNextPvId(),"","UBERON_0034969","","","","","epithelial layer of duct","organ"
"getNextPvId(),"","UBERON_0034770","","","UBERON_0000057","","bulbourethral gland epithelium","organ"
"getNextPvId(),"","UBERON_0004805","","","UBERON_0000991","","seminal vesicle epithelium","organ"
"getNextPvId(),"","UBERON_0004806","","","","","vas deferens epithelium","organ"
"getNextPvId(),"","UBERON_0006948","","","","","efferent duct epithelium","organ"
"getNextPvId(),"","UBERON_0006953","","","","","ejaculatory duct epithelium","organ"
"getNextPvId(),"","UBERON_0009970","","","","","epithelium of pancreatic duct","organ"
"getNextPvId(),"","UBERON_0015766","","","","","epithelium of duct of salivary gland","organ"
"getNextPvId(),"","UBERON_0000083","","","UBERON_0002113","","mesonephric tubule","organ"
"getNextPvId(),"","UBERON_0003074","","","UBERON_0002113","","mesonephric duct","organ"
"getNextPvId(),"","UBERON_0010534","","","UBERON_0002113","","primitive mesonephric nephron","organ"
"getNextPvId(),"","UBERON_0006190","","","UBERON_0002113","","mesonephric distal tubule","organ"
"getNextPvId(),"","UBERON_0006192","","","UBERON_0002113","","mesonephric proximal tubule","organ"
"getNextPvId(),"","UBERON_0004141","","","","","heart tube","organ"
"getNextPvId(),"","UBERON_0006283","","","","","future cardiac ventricle","organ"
"getNextPvId(),"","UBERON_0007278","","","","","presumptive sinus venosus","organ"
"getNextPvId(),"","UBERON_0007279","","","","","presumptive atrioventricular canal","organ"
"getNextPvId(),"","UBERON_0010227","","","","","future cardiac atrium","organ"
"getNextPvId(),"","UBERON_0001049","","","","","neural tube","organ"
"getNextPvId(),"","UBERON_0003054","","","","","roof plate","organ"
"getNextPvId(),"","UBERON_0005502","","","","","rhombomere roof plate","organ"
"getNextPvId(),"","UBERON_0005568","","","","","rhombomere 1 roof plate","organ"
"getNextPvId(),"","UBERON_0005572","","","","","rhombomere 2 roof plate","organ"
"getNextPvId(),"","UBERON_0005575","","","","","rhombomere 3 roof plate","organ"
"getNextPvId(),"","UBERON_0005578","","","","","rhombomere 4 roof plate","organ"
"getNextPvId(),"","UBERON_0005581","","","","","rhombomere 5 roof plate","organ"
"getNextPvId(),"","UBERON_0005584","","","","","rhombomere 6 roof plate","organ"
"getNextPvId(),"","UBERON_0005587","","","","","rhombomere 7 roof plate","organ"
"getNextPvId(),"","UBERON_0003299","","","UBERON_0000955","","roof plate of midbrain","organ"
"getNextPvId(),"","UBERON_0003300","","","","","roof plate of telencephalon","organ"
"getNextPvId(),"","UBERON_0003301","","","UBERON_0000955","","roof plate of diencephalon","organ"
"getNextPvId(),"","UBERON_0003302","","","UBERON_0000955","","roof plate of metencephalon","organ"
"getNextPvId(),"","UBERON_0003303","","","","","roof plate of medulla oblongata","organ"
"getNextPvId(),"","UBERON_0005724","","","UBERON_0002240","","roof plate spinal cord region","organ"
"getNextPvId(),"","UBERON_0003076","","","","","posterior neural tube","organ"
"getNextPvId(),"","UBERON_0003079","","","","","floor plate","organ"
"getNextPvId(),"","UBERON_0003306","","","","","floor plate of neural tube","organ"
"getNextPvId(),"","UBERON_0003307","","","UBERON_0000955","","floor plate of midbrain","organ"
"getNextPvId(),"","UBERON_0003308","","","UBERON_0000955","","floor plate of telencephalon","organ"
"getNextPvId(),"","UBERON_0003309","","","UBERON_0000955","","floor plate of diencephalon","organ"
"getNextPvId(),"","UBERON_0003310","","","UBERON_0000955","","floor plate of metencephalon","organ"
"getNextPvId(),"","UBERON_0003311","","","UBERON_0000955","","floor plate of medulla oblongata","organ"
"getNextPvId(),"","UBERON_0005723","","","UBERON_0002240","","floor plate spinal cord region","organ"
"getNextPvId(),"","UBERON_0003080","","","","","anterior neural tube","organ"
"getNextPvId(),"","UBERON_0003842","","","","","neural tube lumen","organ"
"getNextPvId(),"","UBERON_0004062","","","","","neural tube marginal layer","organ"
"getNextPvId(),"","UBERON_0004731","","","","","neuromere","organ"
"getNextPvId(),"","UBERON_0001892","","","","","rhombomere","organ"
"getNextPvId(),"","UBERON_0005499","","","","","rhombomere 1","organ"
"getNextPvId(),"","UBERON_0005507","","","","","rhombomere 3","organ"
"getNextPvId(),"","UBERON_0005511","","","","","rhombomere 4","organ"
"getNextPvId(),"","UBERON_0005515","","","","","rhombomere 5","organ"
"getNextPvId(),"","UBERON_0005519","","","","","rhombomere 6","organ"
"getNextPvId(),"","UBERON_0005523","","","","","rhombomere 7","organ"
"getNextPvId(),"","UBERON_0005569","","","","","rhombomere 2","organ"
"getNextPvId(),"","UBERON_0005501","","","","","rhombomere lateral wall","organ"
"getNextPvId(),"","UBERON_0014775","","","","","prosomere","organ"
"getNextPvId(),"","UBERON_0014776","","","","","midbrain neuromere","organ"
"getNextPvId(),"","UBERON_0014777","","","","","spinal neuromere","organ"
"getNextPvId(),"","UBERON_0005077","","","","","neuropore","organ"
"getNextPvId(),"","UBERON_0005070","","","","","anterior neuropore","organ"
"getNextPvId(),"","UBERON_0005071","","","","","posterior neuropore","organ"
"getNextPvId(),"","UBERON_0005496","","","","","neural tube lateral wall","organ"
"getNextPvId(),"","UBERON_0005478","","","","","sulcus limitans of neural tube","organ"
"getNextPvId(),"","UBERON_0009570","","","","","spinal cord sulcus limitans","organ"
